"School IRN","School Name","District IRN","District Name","County","Org Type","Grade Span","Open/Closed Status as of 9/1/2014","No. Third graders enrolled at end of school year and accountable to school","Perc. Exempt from TGRG promotion threshold","No. Subject to TGRG promotion threshold","Perc. Met promotion threshold","Perc. Did not meet promotion threshold"
"151936","McCormick Elementary School","045500","Milford Exempted Village","Clermont","Traditional School","K-6","Open","74.0","0.04054054054054054","71.0","1.0","0.0"
"151944","Meadowview Elementary School","045500","Milford Exempted Village","Clermont","Traditional School","K-6","Open","82.0","0.10975609756097561","73.0","1.0","0.0"
"151951","Pattison Elementary School","045500","Milford Exempted Village","Clermont","Traditional School","K-6","Open","115.0","0.05217391304347826","109.0","1.0","0.0"
"025296","Monroe Elementary School","045559","New Richmond Exempted Village","Clermont","Traditional School","K-6","Open","51.0","0.0392156862745098","49.0","1.0","0.0"
"026914","New Richmond Elementary School","045559","New Richmond Exempted Village","Clermont","Traditional School","K-6","Open","50.0","0.06","47.0","0.9787234042553191","0.02127659574468085"
"125765","Locust Corner Elementary School","045559","New Richmond Exempted Village","Clermont","Traditional School","K-6","Open","64.0","0.046875","61.0","1.0","0.0"
"001693","Batavia Elementary School","046300","Batavia Local","Clermont","Traditional School","K-4","Open","157.0","0.03821656050955414","151.0","0.9933774834437086","0.006622516556291391"
"145292","Hill Intermediate Elementary School","046318","Bethel-Tate Local","Clermont","Traditional School","3-5","Open","109.0","0.027522935779816515","106.0","1.0","0.0"
"028985","Clermont Northeastern Elementary School","046326","Clermont Northeastern Local","Clermont","Traditional School","K-5,P","Open","99.0","0.0707070707070707","92.0","0.9782608695652174","0.021739130434782608"
"011494","Felicity-Franklin Local  Elementary School","046334","Felicity-Franklin Local","Clermont","Traditional School","H,P,K,1-4","Open","81.0","0.06172839506172839","76.0","0.9736842105263158","0.02631578947368421"
"070235","Spaulding Elementary School","046342","Goshen Local","Clermont","Traditional School","3-5","Open","189.0","0.06349206349206349","177.0","1.0","0.0"
"000596","Amelia Elementary School","046359","West Clermont Local","Clermont","Traditional School","K-5","Open","94.0","0.010638297872340425","93.0","0.9354838709677419","0.06451612903225806"
"003434","Brantner Lane Elementary School","046359","West Clermont Local","Clermont","Traditional School","K-5","Open","50.0","0.02","49.0","0.9795918367346939","0.02040816326530612"
"006742","Clough Pike Elementary School","046359","West Clermont Local","Clermont","Traditional School","K-5","Open","87.0","0.0","87.0","1.0","0.0"
"024323","Merwin Elementary School","046359","West Clermont Local","Clermont","Traditional School","K-5","Open","94.0","0.06382978723404255","88.0","0.9886363636363636","0.011363636363636364"
"036426","Summerside Elementary School","046359","West Clermont Local","Clermont","Traditional School","K-5","Open","81.0","0.024691358024691357","79.0","1.0","0.0"
"041533","Willowville Elementary School","046359","West Clermont Local","Clermont","Traditional School","K-5","Open","64.0","0.015625","63.0","0.9841269841269841","0.015873015873015872"
"041897","Withamsville-Tobasco Elementary School","046359","West Clermont Local","Clermont","Traditional School","K-5","Open","82.0","0.024390243902439025","80.0","1.0","0.0"
"089565","Holly Hill Elementary School","046359","West Clermont Local","Clermont","Traditional School","K-5","Open","50.0","0.0","50.0","0.98","0.02"
"041434","Williamsburg Elementary School","046367","Williamsburg Local","Clermont","Traditional School","K-5","Open","67.0","0.04477611940298507","64.0","0.984375","0.015625"
"008409","Denver Place Elementary School","045112","Wilmington City","Clinton","Traditional School","K-5","Open","87.0","0.08045977011494253","80.0","0.925","0.075"
"009027","East End Elementary School","045112","Wilmington City","Clinton","Traditional School","K-5","Open","30.0","0.06666666666666667","28.0","0.8571428571428571","0.14285714285714285"
"016618","Roy E Holmes Elementary School","045112","Wilmington City","Clinton","Traditional School","K-5","Open","78.0","0.038461538461538464","75.0","0.96","0.04"
"030916","Putman Elementary School","046383","Blanchester Local","Clinton","Traditional School","K-3,P","Open","139.0","0.07194244604316546","129.0","0.9767441860465116","0.023255813953488372"
"088963","Clinton-Massie Elementary School","046391","Clinton-Massie Local","Clinton","Traditional School","K-5","Open","138.0","0.050724637681159424","131.0","0.9770992366412213","0.022900763358778626"
"026989","New Vienna Elementary School","046409","East Clinton Local","Clinton","Traditional School","K-5","Open","48.0","0.0","48.0","0.9375","0.0625"
"033399","Sabina Elementary School","046409","East Clinton Local","Clinton","Traditional School","K-5","Open","48.0","0.020833333333333332","47.0","1.0","0.0"
"019380","Lacroft Elementary School","043919","East Liverpool City","Columbiana","Traditional School","K-4","Open","77.0","0.03896103896103896","74.0","0.7027027027027027","0.2972972972972973"
