"County","IRN","Organization Name","Student Count","Student Count At or Above 392","Percentage"
"Jefferson","047803","Indian Creek Local","171.0","153.0","0.8947368421052632"
"Knox","047829","Centerburg Local","80.0","78.0","0.975"
"Knox","047837","Danville Local","39.0","36.0","0.9230769230769231"
"Knox","047845","East Knox Local","70.0","65.0","0.9285714285714286"
"Knox","047852","Fredericktown Local","96.0","91.0","0.9479166666666666"
"Lake","047878","Kirtland Local","78.0","75.0","0.9615384615384616"
"Lake","047886","Madison Local","240.0","214.0","0.8916666666666667"
"Lake","047894","Riverside Local","361.0","330.0","0.9141274238227147"
"Lake","047902","Perry Local","117.0","109.0","0.9316239316239316"
"Lawrence","047928","Dawson-Bryant Local","97.0","94.0","0.9690721649484536"
"Lawrence","047936","Fairland Local","143.0","135.0","0.9440559440559441"
"Lawrence","047944","Rock Hill Local","105.0","95.0","0.9047619047619048"
"Lawrence","047951","South Point Local","125.0","105.0","0.84"
"Lawrence","047969","Symmes Valley Local","58.0","56.0","0.9655172413793104"
"Licking","047985","Johnstown-Monroe Local","128.0","123.0","0.9609375"
"Licking","047993","Lakewood Local","138.0","117.0","0.8478260869565217"
"Licking","048009","Licking Heights Local","307.0","275.0","0.8957654723127035"
"Licking","048017","Licking Valley Local","138.0","132.0","0.9565217391304348"
"Licking","048025","North Fork Local","103.0","93.0","0.9029126213592233"
"Licking","048033","Northridge Local","102.0","98.0","0.9607843137254902"
"Licking","048041","Southwest Licking Local","280.0","249.0","0.8892857142857142"
"Logan","048074","Benjamin Logan Local","150.0","132.0","0.88"
