"IRN","Local Education Agency Name","Org Type","Operating Expenditures","Instruction","Pupil Support","Staff Support","Administration","Operations Support","Operating EPP","Instruction EPP","Pupil Support EPP","Staff Support EPP","Administration EPP","Operations Support EPP","Operating EPEP","Instruction EPEP","Pupil Support EPEP","Staff Support EPEP","Administration EPEP","Operations Support EPEP"
"045799","Shawnee Local","Public District","22735244.690000005","12824899.530000005","1322722.3900000001","713591.87","2492043.68","5381987.22","9188.475424382324","5183.197971183896","534.5797830423636","288.3989792033342","1007.1623341814706","2175.1363567712597","8467.284546672237","4776.375846562004","492.6213465083391","265.76293749499746","928.1115391107853","2004.4128769961112"
"044768","Sheffield-Sheffield Lake City","Public District","19341730.010000013","11212995.940000014","1196073.6599999997","706998.9600000003","2931891.2600000002","3293770.1900000004","11130.14853873815","6452.489529734052","688.2774959731836","406.8407240440738","1687.1492470609735","1895.3915419258694","9448.625084445133","5477.658650787128","584.2937307509283","345.3759361070008","1432.2576775592904","1609.039089240787"
"044776","Shelby City","Public District","19217675.980000004","11724655.890000004","844986.02","733524.2299999997","2205575.66","3708934.1799999997","9569.924346516635","5838.586828761835","420.7820078598386","365.2768105124886","1098.3217860830273","1846.9569132994457","8277.508225360762","5050.086996471439","363.95549275281576","315.9462597686287","949.9936769828652","1597.525799385013"
"044784","Sidney City","Public District","28552066.95000001","17088710.90000001","1557993.2200000004","813755.7199999999","4021407.870000001","5070199.24","8045.38326329423","4815.246087328669","439.0103384971884","229.29956915423745","1133.1497516041547","1428.6775167099806","6565.7767389845685","3929.6860967346556","358.27303365760935","187.12965288811205","924.7549852363832","1165.932970467808"
"046607","Solon City","Public District","62646711.01999999","38157707.75999999","3714533.850000001","1552465.3699999999","7858799.26","11363204.779999997","12860.389550378006","7833.180356210849","762.5356787495945","318.6968493094201","1613.2885228333319","2332.68814327481","11288.75156306668","6875.905791466425","669.347985273555","279.74965623653253","1416.1323234004997","2047.6158066896671"
"047738","South Central Local","Public District","8325448.01","4870125.540000001","357466.36000000004","368713.16","976776.0800000001","1752366.8699999996","10302.716683807872","6026.765597830793","442.36353727131996","456.2814181901931","1208.7574390799005","2168.548691435667","8941.767990116175","5230.653366535077","383.9290392002995","396.00842232904455","1049.0852954897207","1882.0918665620338"
"044792","South Euclid-Lyndhurst City","Public District","53761259.49000001","29511836.03000001","3334546.4400000013","1219341.7799999989","7999169.5600000005","11696365.68","13796.087854115158","7573.257889946825","855.7034577737894","312.9046172030658","2052.7280621141504","3001.493827077327","11617.740724418933","6377.470739164504","720.5913020073515","263.4982288152389","1728.6105057867994","2527.569948645039"
"047951","South Point Local","Public District","14895869.519999992","8633393.59999999","563577.9199999999","501692.07","1703804.3199999998","3493401.6100000003","8504.600923767668","4929.122605916182","321.76740623376935","286.43449355139865","972.7646831449521","1994.5117349213647","7358.925937689386","4265.10879462386","278.42135484797365","247.84822273712297","841.7212426814565","1725.8263227989712"
"048363","South Range Local","Public District","11784662.899999991","6905229.369999992","303578.89","502098.49000000005","1497781.03","2575975.12","9703.757911909279","5685.922007381798","249.97372268714952","413.4392503408143","1233.306768594131","2121.1161629053877","8502.940730582934","4982.302553956847","219.04006339682047","362.2771170981218","1080.6879614249694","1858.6330347061755"
"008281","South Scioto Academy","Community School","1357443.07","498934.35000000003","73353.39","64832.1","448885.7700000001","271437.46","8394.341268425966","3085.3781620766495","453.6126799453508","400.9175666930319","2775.8809390954175","1678.5519206155159","7065.431674993283","2596.931420654116","381.80117945877134","337.44823854478994","2336.4307556645817","1412.8200806710238"
