"District IRN","District Name","County","No. Third graders enrolled at end of school year and accountable to district","Perc. Exempt from TGRG promotion threshold","No. Subject to TGRG promotion threshold","Perc. Met promotion threshold","No. Did not meet promotion threshold"
"046953","Hamilton Local","Franklin","200.0","0.1","180.0","0.9777777777777777","0.022222222222222223"
"047019","Hilliard City","Franklin","1144.0","0.045454545454545456","1092.0","0.9963369963369964","0.003663003663003663"
"046995","New Albany-Plain Local","Franklin","390.0","0.041025641025641026","374.0","1.0","0.0"
"047001","Reynoldsburg City","Franklin","485.0","0.04329896907216495","464.0","0.9719827586206896","0.028017241379310345"
"044800","South-Western City","Franklin","1459.0","0.05277587388622344","1382.0","0.9319826338639653","0.06801736613603473"
"044933","Upper Arlington City","Franklin","382.0","0.015706806282722512","376.0","1.0","0.0"
"045047","Westerville City","Franklin","1052.0","0.03326996197718631","1017.0","0.9941002949852508","0.0058997050147492625"
"045070","Whitehall City","Franklin","222.0","0.10810810810810811","198.0","0.9090909090909091","0.09090909090909091"
"045138","Worthington City","Franklin","670.0","0.04776119402985075","638.0","1.0","0.0"
"047043","Archbold-Area Local","Fulton","93.0","0.03225806451612903","90.0","1.0","0.0"
"047050","Evergreen Local","Fulton","82.0","0.036585365853658534","79.0","1.0","0.0"
"047068","Fayette Local","Fulton","19.0","0.05263157894736842","18.0","1.0","0.0"
"047076","Pettisville Local","Fulton","32.0","0.09375","29.0","1.0","0.0"
"047084","Pike-Delta-York Local","Fulton","95.0","0.07368421052631578","88.0","1.0","0.0"
"047092","Swanton Local","Fulton","86.0","0.05813953488372093","81.0","1.0","0.0"
"045641","Wauseon Exempted Village","Fulton","121.0","0.0","121.0","1.0","0.0"
"065680","Gallia County Local","Gallia","160.0","0.08125","147.0","0.9591836734693877","0.04081632653061224"
"044032","Gallipolis City","Gallia","156.0","0.04487179487179487","149.0","0.9731543624161074","0.026845637583892617"
"047167","Berkshire Local","Geauga","65.0","0.0","65.0","0.9230769230769231","0.07692307692307693"
"047175","Cardinal Local","Geauga","88.0","0.056818181818181816","83.0","1.0","0.0"
"047183","Chardon Local","Geauga","219.0","0.0228310502283105","214.0","1.0","0.0"
"047191","Kenston Local","Geauga","209.0","0.03349282296650718","202.0","0.9801980198019802","0.019801980198019802"
"047209","Ledgemont Local","Geauga","26.0","0.19230769230769232","21.0","1.0","0.0"
"047217","Newbury Local","Geauga","31.0","0.06451612903225806","29.0","1.0","0.0"
"047225","West Geauga Local","Geauga","138.0","0.057971014492753624","130.0","1.0","0.0"
"047241","Beavercreek City","Greene","524.0","0.030534351145038167","508.0","0.9921259842519685","0.007874015748031496"
"047274","Bellbrook-Sugarcreek Local","Greene","184.0","0.03260869565217391","178.0","0.9887640449438202","0.011235955056179775"
"047258","Cedar Cliff Local","Greene","36.0","0.027777777777777776","35.0","1.0","0.0"
"043968","Fairborn City","Greene","330.0","0.06363636363636363","309.0","0.9644012944983819","0.03559870550161812"
"047266","Greeneview Local","Greene","92.0","0.021739130434782608","90.0","0.9777777777777777","0.022222222222222223"
"045153","Xenia Community City","Greene","310.0","0.08064516129032258","285.0","0.9824561403508771","0.017543859649122806"
"045674","Yellow Springs Exempted Village","Greene","46.0","0.043478260869565216","44.0","1.0","0.0"
"043695","Cambridge City","Guernsey","167.0","0.07784431137724551","154.0","0.9675324675324676","0.032467532467532464"
"069682","East Guernsey Local","Guernsey","69.0","0.057971014492753624","65.0","1.0","0.0"
"047308","Rolling Hills Local","Guernsey","113.0","0.10619469026548672","101.0","0.9801980198019802","0.019801980198019802"
"043752","Cincinnati City","Hamilton","2333.0","0.07672524646378054","2154.0","0.9712163416898792","0.028783658310120707"
"043851","Deer Park Community City","Hamilton","82.0","0.036585365853658534","79.0","1.0","0.0"
"047332","Finneytown Local","Hamilton","101.0","0.1188118811881188","89.0","1.0","0.0"
"047340","Forest Hills Local","Hamilton","530.0","0.026415094339622643","516.0","0.998062015503876","0.001937984496124031"
"045435","Indian Hill Exempted Village","Hamilton","125.0","0.008","124.0","1.0","0.0"
"044230","Lockland Local","Hamilton","29.0","0.13793103448275862","25.0","0.84","0.16"
"044271","Loveland City","Hamilton","307.0","0.009771986970684038","304.0","1.0","0.0"
"044289","Madeira City","Hamilton","110.0","0.02727272727272727","107.0","1.0","0.0"
"044313","Mariemont City","Hamilton","139.0","0.03597122302158273","134.0","0.9925373134328358","0.007462686567164179"
"044412","Mt Healthy City","Hamilton","247.0","0.05263157894736842","234.0","0.9829059829059829","0.017094017094017096"
"044511","North College Hill City","Hamilton","111.0","0.10810810810810811","99.0","0.9696969696969697","0.030303030303030304"
"047365","Northwest Local","Hamilton","649.0","0.0724191063174114","602.0","0.9966777408637874","0.0033222591362126247"
"044578","Norwood City","Hamilton","147.0","0.10884353741496598","131.0","0.9770992366412213","0.022900763358778626"
"047373","Oak Hills Local","Hamilton","549.0","0.04735883424408015","523.0","1.0","0.0"
"044677","Princeton City","Hamilton","409.0","0.08068459657701711","376.0","0.976063829787234","0.023936170212765957"
"044693","Reading Community City","Hamilton","122.0","0.00819672131147541","121.0","1.0","0.0"
"047381","Southwest Local","Hamilton","256.0","0.01953125","251.0","1.0","0.0"
"044719","St Bernard-Elmwood Place City","Hamilton","58.0","0.08620689655172414","53.0","1.0","0.0"
"044867","Sycamore Community City","Hamilton","359.0","0.027855153203342618","349.0","0.997134670487106","0.0028653295128939827"
"047399","Three Rivers Local","Hamilton","161.0","0.031055900621118012","156.0","0.9935897435897436","0.00641025641025641"
"044081","Winton Woods City","Hamilton","236.0","0.1059322033898305","211.0","0.9146919431279621","0.08530805687203792"
"045146","Wyoming City","Hamilton","139.0","0.014388489208633094","137.0","1.0","0.0"
"047415","Arcadia Local","Hancock","42.0","0.023809523809523808","41.0","1.0","0.0"
"047423","Arlington Local","Hancock","33.0","0.06060606060606061","31.0","1.0","0.0"
"047431","Cory-Rawson Local","Hancock","39.0","0.02564102564102564","38.0","1.0","0.0"
"043984","Findlay City","Hancock","389.0","0.02570694087403599","379.0","0.9868073878627969","0.013192612137203167"
"047449","Liberty-Benton Local","Hancock","96.0","0.010416666666666666","95.0","1.0","0.0"
"047456","McComb Local","Hancock","45.0","0.0","45.0","1.0","0.0"
"047514","Riverdale Local","Hancock","73.0","0.1095890410958904","65.0","0.9846153846153847","0.015384615384615385"
"047464","Van Buren Local","Hancock","80.0","0.0375","77.0","1.0","0.0"
"047472","Vanlue Local","Hancock","20.0","0.05","19.0","0.9473684210526315","0.05263157894736842"
"045187","Ada Exempted Village","Hardin","75.0","0.013333333333333334","74.0","0.9864864864864865","0.013513513513513514"
"047498","Hardin Northern Local","Hardin","31.0","0.0","31.0","1.0","0.0"
"044172","Kenton City","Hardin","130.0","0.07692307692307693","120.0","0.9916666666666667","0.008333333333333333"
"047506","Ridgemont Local","Hardin","43.0","0.06976744186046512","40.0","0.975","0.025"
"047522","Upper Scioto Valley Local","Hardin","29.0","0.1724137931034483","24.0","1.0","0.0"
"047548","Conotton Valley Union Local","Harrison","38.0","0.0","38.0","1.0","0.0"
"045245","Harrison Hills City","Harrison","106.0","0.02830188679245283","103.0","0.9902912621359223","0.009708737864077669"
"047571","Holgate Local","Henry","26.0","0.0","26.0","1.0","0.0"
"047589","Liberty Center Local","Henry","74.0","0.12162162162162163","65.0","1.0","0.0"
"044438","Napoleon Area City","Henry","124.0","0.06451612903225806","116.0","1.0","0.0"
"047597","Patrick Henry Local","Henry","59.0","0.06779661016949153","55.0","1.0","0.0"
"047613","Bright Local","Highland","49.0","0.02040816326530612","48.0","1.0","0.0"
"047621","Fairfield Local","Highland","72.0","0.013888888888888888","71.0","1.0","0.0"
"045401","Greenfield Exempted Village","Highland","136.0","0.10294117647058823","122.0","1.0","0.0"
"044123","Hillsboro City","Highland","175.0","0.10285714285714286","157.0","0.9681528662420382","0.03184713375796178"
"047639","Lynchburg-Clay Local","Highland","95.0","0.042105263157894736","91.0","1.0","0.0"
"044248","Logan-Hocking Local","Hocking","268.0","0.08955223880597014","244.0","0.9672131147540983","0.03278688524590164"
"047688","East Holmes Local","Holmes","168.0","0.07738095238095238","155.0","0.9935483870967742","0.0064516129032258064"
"047696","West Holmes Local","Holmes","169.0","0.07100591715976332","157.0","1.0","0.0"
"043596","Bellevue City","Huron","130.0","0.03076923076923077","126.0","1.0","0.0"
"047712","Monroeville Local","Huron","48.0","0.125","42.0","0.8809523809523809","0.11904761904761904"
"047720","New London Local","Huron","65.0","0.07692307692307693","60.0","0.9166666666666666","0.08333333333333333"
"044560","Norwalk City","Huron","215.0","0.06511627906976744","201.0","0.9303482587064676","0.06965174129353234"
"047738","South Central Local","Huron","58.0","0.0","58.0","1.0","0.0"
"047746","Western Reserve Local","Huron","80.0","0.05","76.0","1.0","0.0"
"045096","Willard City","Huron","105.0","0.14285714285714285","90.0","0.8888888888888888","0.1111111111111111"
"044156","Jackson City","Jackson","180.0","0.027777777777777776","175.0","0.9485714285714286","0.05142857142857143"
"047761","Oak Hill Union Local","Jackson","97.0","0.09278350515463918","88.0","1.0","0.0"
"045021","Wellston City","Jackson","110.0","0.07272727272727272","102.0","0.9607843137254902","0.0392156862745098"
"047787","Buckeye Local","Jefferson","130.0","0.07692307692307693","120.0","1.0","0.0"
"047795","Edison Local","Jefferson","110.0","0.03636363636363636","106.0","0.9905660377358491","0.009433962264150943"
"047803","Indian Creek Local","Jefferson","164.0","0.06707317073170732","153.0","0.9869281045751634","0.013071895424836602"
"044826","Steubenville City","Jefferson","161.0","0.037267080745341616","155.0","0.9935483870967742","0.0064516129032258064"
"044917","Toronto City","Jefferson","63.0","0.015873015873015872","62.0","0.7741935483870968","0.22580645161290322"
"047829","Centerburg Local","Knox","78.0","0.0","78.0","1.0","0.0"
"047837","Danville Local","Knox","36.0","0.0","36.0","1.0","0.0"
"047845","East Knox Local","Knox","64.0","0.03125","62.0","0.967741935483871","0.03225806451612903"
"047852","Fredericktown Local","Knox","94.0","0.06382978723404255","88.0","1.0","0.0"
"044420","Mount Vernon City","Knox","270.0","0.04814814814814815","257.0","0.9961089494163424","0.0038910505836575876"
"045369","Fairport Harbor Exempted Village","Lake","46.0","0.0","46.0","0.9130434782608695","0.08695652173913043"
"047878","Kirtland Local","Lake","78.0","0.01282051282051282","77.0","1.0","0.0"
