"Sponsor IRN","Sponsor Name","School IRN","School Name","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013"
"000862","Buckeye Community Hope Foundation                           ","012528","The Academy for Urban Scholars                              ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","166.03","219.23"
"000862","Buckeye Community Hope Foundation                           ","012529","Focus North High School                                     ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","184.32","181.78"
"000862","Buckeye Community Hope Foundation","012556","Pearl Academy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","210.37","274.39"
"000862","Buckeye Community Hope Foundation","012557","Woodland Academy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","447.52","396.98"
"000862","Buckeye Community Hope Foundation","012668","Garfield Academy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","257.55","236.9"
"000862","Buckeye Community Hope Foundation","013173","Imagine Hill Avenue","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","122.71000000000001"
"000862","Buckeye Community Hope Foundation","013174","Young Scholars Prep School","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","30.36"
"000862","Buckeye Community Hope Foundation                           ","132985","Youthbuild Columbus Community                               ","NA","NA","NA","56.47","56.87","78.51","70.87","41.41","78.48","129.43","169.75","204.22000000000003","269.98","266.6","256.03"
"000862","Buckeye Community Hope Foundation","133819","Hope Academy Lincoln Park","NA","134.56","167.6","186.85","182.74","185.84","183.09","191.91","167.9","156.15","157.45","169.4","231.23000000000002","212.4","218.81"
"000862","Buckeye Community Hope Foundation","134148","Aurora Academy","96.81","233.28","233.3","170.9","171.48","130.76","128.23","140.59","154.1","153.43","149.57","151.28","146.08","163.75","162.64000000000001"
"000862","Buckeye Community Hope Foundation","134213","Middlebury Academy","123.0","171.54","155.45","194.16","202.03","192.92","197.63","346.58","347.05","311.6","356.29999999999995","388.44","380.74","377.12","365.89"
"000862","Buckeye Community Hope Foundation                           ","142927","Focus Learning Academy of Southwest Columbus                ","NA","NA","NA","NA","187.91","349.33","353.27","305.83","105.75","217.94","241.67000000000002","332.53","333.68000000000006","289.01","247.54"
"000862","Buckeye Community Hope Foundation                           ","142935","Focus Learning Academy of Southeastern Columbus             ","NA","NA","NA","NA","106.89","431.13","501.49","367.34","103.09","225.54","283.96000000000004","262.71","234.17","194.27","203.94"
"000862","Buckeye Community Hope Foundation","143172","International Acad Of Columbus","NA","NA","NA","NA","157.04","240.1","272.93","216.96","216.86","222.17","199.5","192.31","188.48","207.70999999999998","207.51999999999998"
"000862","Buckeye Community Hope Foundation","143198","Great Western Academy","NA","NA","NA","NA","29.24","128.65","231.37","346.24","524.54","674.67","781.73","826.53","777.3900000000001","815.94","818.25"
"000862","Buckeye Community Hope Foundation","143453","Mollie Kessler","NA","NA","NA","NA","44.58","55.38","59.85","61.84","61.55","61.17","63.05","63.12","63.3","63.91","64.4"
"000862","Buckeye Community Hope Foundation","143552","Eagle Academy","NA","NA","NA","59.07","225.97","222.04","115.2","113.14","152.86","139.1","159.67","226.46","291.12","450.04999999999995","521.75"
"007991","Educational Resource Consultants of Ohio                    ","000527","Cleveland Academy for Scholarship Technology and Leadership ","NA","NA","NA","NA","NA","NA","139.46","196.28","308.66","339.5","292.03999999999996","292.86","286.96000000000004","272.81","236.18"
"007991","Educational Resource Consultants of Ohio","000576","King Academy Community School","NA","NA","NA","NA","NA","NA","112.61","140.55","145.4","141.57","124.61","148.33999999999997","135.5","108.92999999999999","106.25"
"007991","Educational Resource Consultants of Ohio","000677","New Day Academy Boarding & Day School","NA","NA","NA","NA","NA","NA","NA","52.39","136.59","150.44","177.69","148.99","202.01000000000002","278.2","241.06"
