"Building IRN","Building Name","District IRN","District Name","County","Region","Open/Closed Status (as of 8/20/2013)","Feeder IRN","School Type","Limited English Proficiency","Read 3rd grade 2012-13 % proficient or above","Math 3rd grade 2012-13 % proficient or above","Read 4th Grade 2012-13 % proficient or above","Math 4th Grade 2012-13 % proficient or above","Read 5th grade 2012-13 % proficient or above","Math 5th grade 2012-13 % proficient or above","Science 5th grade 2012-13 % proficient or above","Read 6th Grade 2012-13 % proficient or above","Math 6th Grade 2012-13 % proficient or above","Read 7th Grade 2012-13 % proficient or above","Math 7th Grade 2012-13 % proficient or above","Read 8th Grade 2012-13 % proficient or above","Math 8th Grade 2012-13 % proficient or above","Science 8th grade 2012-13 % proficient or above","Read OGT 2012-13 % proficient or above","Math OGT 2012-13 % proficient or above","Write OGT 2012-13 % proficient or above","Social Studies OGT 2012-13 % proficient or above","Science OGT 2012-13 % proficient or above","Read 11th grade 2012-13 % at or above proficient","Math 11th grade 2012-13 % at or above proficient","Write 11th grade 2012-13 % at or above proficient","Social Studies 11th grade 2012-13 % at or above proficient","Science 11th grade 2012-13 % at or above proficient","Attendance rate 2012-13","	2012 4-Year Longitudinal Graduation Rate - Class of 2012","	2012 5-Year Longitudinal Graduation Rate - Class of 2011","Enrollment","% of total enrollment"
"008987","East Clark","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","006940","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"008995","East Clinton High School","046409","East Clinton Local","Clinton","Region 14","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009001","East Columbus Elementary School","043802","Columbus City","Franklin","Region 11","Open","009662","Elementary School","LEP","63.6","45.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","63","17.3"
"009027","East End Elementary School","045112","Wilmington City","Clinton","Region 14","Open","021204","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009029"," Barack Obama School","044305","Maple Heights City","Cuyahoga","Region 3","Open","009522","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009030","Abraham Lincoln School","044305","Maple Heights City","Cuyahoga","Region 3","Open","009031","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009031","J.F. Kennedy School","044305","Maple Heights City","Cuyahoga","Region 3","Open","009029","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009035","East Franklin Elementary School","044800","South-Western City","Franklin","Region 11","Open","138727","Elementary School","LEP","--","--","70.0","60.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","20","8.6"
"009038","Toledo Early College High School","044909","Toledo City","Lucas","Region 1","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","13","6.1"
"009043","East Knox High School","047845","East Knox Local","Knox","Region 7","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009075","Johnnycake Corners Elementary School","046763","Olentangy Local","Delaware","Region 11","Open","010166","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009076","East Linden Elementary School","043802","Columbus City","Franklin","Region 11","Open","024067","Elementary School","LEP","66.7","55.6","66.7","26.7","36.8","5.3","10.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","137","44.5"
"009077","Hyatts Middle School","046763","Olentangy Local","Delaware","Region 11","Open","145953","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","13","1.7"
"009078","Liberty Tree Elementary School","046763","Olentangy Local","Delaware","Region 11","Open","009077","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","11","1.8"
"009084","East Liverpool High School","043919","East Liverpool City","Columbiana","Region 5","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009090","Washington Elementary School","047019","Hilliard City","Franklin","Region 11","Open","140814","Elementary School","LEP","66.7","83.3","--","--","71.4","78.6","85.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","70","17.4"
"009091","Hilliard Bradley High School","047019","Hilliard City","Franklin","Region 11","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","90.0","80.0","90.0","90.0","70.0","92.9","92.9","92.9","92.9","85.7","94.3","84.6","83.3","47","3.3"
"009107","Helen Arnold Community Learning Center","043489","Akron City","Summit","Region 8","Open","029645","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009108","Lincoln K-8 School","044990","Warren City","Trumbull","Region 5","Open","015222","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009109","Willard Avenue K-8 School","044990","Warren City","Trumbull","Region 5","Open","015222","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009112","Jefferson K-8 School","044990","Warren City","Trumbull","Region 5","Open","015222","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","91.1","--","--","14","1.8"
"009113","McGuffey K-8 School","044990","Warren City","Trumbull","Region 5","Open","015222","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009116","Harding Middle School","044198","Lakewood City","Cuyahoga","Region 3","Open","019687","Middle School","LEP","--","--","--","--","--","--","--","57.9","52.6","64.7","70.6","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","50","8.0"
"009117","Garfield Middle School","044198","Lakewood City","Cuyahoga","Region 3","Open","019687","Middle School","LEP","--","--","--","--","--","--","--","45.8","54.2","57.1","52.4","53.8","46.2","34.6","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","78","13.3"
"009119","Hayes Elementary School","044198","Lakewood City","Cuyahoga","Region 3","Open","009116","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.7","--","--","22","5.6"
"009120","Harrison Elementary School","044198","Lakewood City","Cuyahoga","Region 3","Open","009117","Elementary School","LEP","--","--","64.3","50.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","66","18.5"
"009122","Columbus Collegiate Academy","009122","Columbus Collegiate Academy","Franklin","Region 11","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009128","Ridgewood Elementary School","046474","Ridgewood Local","Coshocton","Region 12","Open","138552","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009134","East Palestine High School","043927","East Palestine City","Columbiana","Region 5","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009145","Akron Early College High School","043489","Akron City","Summit","Region 8","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","16","4.8"
"009147","Northpointe Academy","009147","Northpointe Academy","Lucas","Region 1","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009148","Zanesville Community School","009148","Zanesville Community School","Muskingum","Region 12","Open","","Dropout Recovery","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009149","Constellation Schools: Westside Community School of the Arts","009149","Constellation Schools: Westside Community School of the Arts","Cuyahoga","Region 3","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009154","Cincinnati Leadership Academy","009154","Cincinnati Leadership Academy","Hamilton","Region 13","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009159","Prospect Elementary School","044065","Girard City","Trumbull","Region 5","Open","037366","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009160","Jackson Northview Elementary School","044156","Jackson City","Jackson","Region 16","Open","020453","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009163","C.M. Grant Leadership Academy","009163","C.M. Grant Leadership Academy","Franklin","Region 11","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009164","Central Academy of Ohio","009164","Central Academy of Ohio","Lucas","Region 1","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","30","18.3"
"009165","Gahanna Community School","046961","Gahanna-Jefferson City","Franklin","Region 11","Closed","******","Community School Conversion","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009167","Mississinawa Valley Elementary School","046672","Mississinawa Valley Local","Darke","Region 10","Open","025122","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009171","Star Academy of Toledo","009171","Star Academy of Toledo","Lucas","Region 1","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009178","Romig Road Community School","009178","Romig Road Community School","Summit","Region 8","Closed","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009179","Horizon Science Academy Columbus Middle School","009179","Horizon Science Academy Columbus Middle School","Franklin","Region 11","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009181","Clay Avenue Community School","009181","Clay Avenue Community School","Lucas","Region 1","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009192","Foundation Academy","009192","Foundation Academy","Richland","Region 7","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009200","James N. Gamble Montessori High School","043752","Cincinnati City","Hamilton","Region 13","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009201","Waggoner Road Junior High","047001","Reynoldsburg City","Franklin","Region 11","Open","012516","Junior High School","LEP","--","--","--","--","--","--","--","--","--","--","--","58.3","58.3","41.7","--","--","--","--","--","--","--","--","--","--","94.6","--","--","22","4.8"
"009212","Carson Elementary School","044453","Newark City","Licking","Region 11","Open","009213","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009213","Heritage Middle School","044453","Newark City","Licking","Region 11","Open","027011","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009214","Hillview Elementary School","044453","Newark City","Licking","Region 11","Open","009213","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009216","Legend Elementary","044453","Newark City","Licking","Region 11","Open","009218","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009218","Liberty Middle School","044453","Newark City","Licking","Region 11","Open","027011","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009220","Centerville Primary Village South","043737","Centerville City","Montgomery","Region 10","Open","068379","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","22","4.5"
"009221","Toni Wofford Morrison ES","044263","Lorain City","Lorain","Region 2","Open","000840","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009222","Helen Steiner Rice ES","044263","Lorain City","Lorain","Region 2","Open","000841","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009224","Trotwood-Madison Elementary","048694","Trotwood-Madison City","Montgomery","Region 10","Open","022186","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009225","Eagle Point Elementary School","045609","Rossford Exempted Village","Wood","Region 1","Open","095828","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009230","Wilson Middle School","045161","Youngstown City Schools","Mahoning","Region 5","Closed","031138","Middle School","LEP","--","--","--","--","--","--","--","33.3","25.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","91.1","--","--","26","8.8"
"009233","Eakin Elementary School","043802","Columbus City","Franklin","Region 11","Open","040162","Elementary School","LEP","25.0","25.0","68.2","63.6","47.8","39.1","21.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","168","57.7"
"009241","East Elementary School","044487","New Philadelphia City","Tuscarawas","Region 12","Open","040287","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009258","East Elementary School","044420","Mount Vernon City","Knox","Region 7","Open","061457","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009268","Akron Opportunity Center","043489","Akron City","Summit","Region 8","Open","027565","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009274","East Elementary School","043893","Dover City","Tuscarawas","Region 12","Open","071068","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","17","3.4"
"009282","Hollingsworth East Elementary School","043935","Eaton Community City","Preble","Region 10","Open","003954","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009283","Dayton Early College Academy, Inc","043844","Dayton City","Montgomery","Region 10","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009285","Douglas MacArthur","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","006353","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009286","Orange High School","046763","Olentangy Local","Delaware","Region 11","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","90.9","90.9","90.9",">95.0","81.8",">95.0","--","--","29","2.0"
"009308","St. Marys Primary School","044727","St Marys City","Auglaize","Region 6","Open","040337","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009324","Fort Recovery Middle School","048595","Fort Recovery Local","Mercer","Region 6","Open","012674","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009340","East Elementary School","044206","Lancaster City","Fairfield","Region 11","Open","061655","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009365","Greenville Intermediate School","044099","Greenville City","Darke","Region 10","Open","009507","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009373","Chesapeake Middle School","045294","Chesapeake Union Exempted Village","Lawrence","Region 15","Open","006098","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009381","East Elementary School","043729","Celina City","Mercer","Region 6","Open","125823","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","15","2.2"
"009407","Waverly Primary School","049148","Waverly City","Pike","Region 15","Open","040410","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009421","Ginn Academy","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009423","East Elementary School","044941","Urbana City","Champaign","Region 6","Open","038000","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009431","East Elementary School","043521","Athens City","Athens","Region 16","Open","024471","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.6","--","--","51","15.1"
"009464","East Elementary School","045542","Newcomerstown Exempted Village","Tuscarawas","Region 12","Open","040345","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009487","Miami Trace Elementary School","046920","Miami Trace Local","Fayette","Region 14","Open","002964","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","12","1.0"
"009488","Fairless Elementary School","049841","Fairless Local","Stark","Region 9","Open","018572","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009496","Hilliard City School District Preschool","047019","Hilliard City","Franklin","Region 11","Open","140806","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009498","East Community Learning Center","043489","Akron City","Summit","Region 8","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","11","1.1"
"009507","Greenville Middle School","044099","Greenville City","Darke","Region 10","Open","014639","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009511","Phoenix Middle School","045138","Worthington City","Franklin","Region 11","Open","112094","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009514","East High School","043802","Columbus City","Franklin","Region 11","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","91.1","--","--","17","3.6"
"009522","Milkovich Middle School","044305","Maple Heights City","Cuyahoga","Region 3","Open","022566","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009555","East Technical High School","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009571","Eastern High School","048512","Eastern Local","Meigs","Region 16","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009589","Eastern High School","049122","Eastern Local","Pike","Region 15","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009613","Easthaven Elementary School","043802","Columbus City","Franklin","Region 11","Open","018465","Elementary School","LEP","40.0","30.8","75.0","46.7","76.5","29.4","29.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","145","35.4"
"009621","Eastlake Middle School","045104","Willoughby-Eastlake City","Lake","Region 4","Open","027573","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009647","Eastmont Park  PreK-8 School","043844","Dayton City","Montgomery","Region 10","Open","066795","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","14","2.9"
"009688","Eastport Avenue Elementary School","043778","Claymont City","Tuscarawas","Region 12","Open","027805","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009704","Eastview Elementary School","049452","Madison Local","Richland","Region 7","Open","022103","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009712","Eastview Elementary School","048124","Avon Lake City","Lorain","Region 2","Open","061911","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009720","Revere Middle School","050054","Revere Local","Summit","Region 8","Open","031393","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","10","1.6"
"009738","Eastwood Elementary School","044594","Oberlin City Schools","Lorain","Region 2","Open","030809","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009779","Eastwood I High School","050674","Eastwood Local","Wood","Region 1","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009787","Lee Eaton Elementary School","050047","Nordonia Hills City","Summit","Region 8","Open","027326","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","11","2.0"
"009803","Eaton High School","043935","Eaton Community City","Preble","Region 10","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009829","Echo Hills Elementary School","044834","Stow-Munroe Falls City","Summit","Region 8","Open","098418","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009871","East Knox Middle School","047845","East Knox Local","Knox","Region 7","Open","009043","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009886","Edgerton Elementary School","050617","Edgerton Local","Williams","Region 1","Open","009894","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009894","Edgerton High School","050617","Edgerton Local","Williams","Region 1","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009902","Edgewater Elementary School","044909","Toledo City","Lucas","Region 1","Open","042150","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009909","Constellation Schools: Mansfield Community Middle","009909","Constellation Schools: Mansfield Community Middle","Richland","Region 7","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009910","Edgewood Middle School","045120","Wooster City","Wayne","Region 9","Open","042218","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009927","SalemTownship Elementary School","050443","Little Miami Local","Warren","Region 13","Open","138859","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","17","1.8"
"009928","Edgewood Elementary School","045476","Marysville Exempted Village","Union","Region 11","Open","140590","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009936","Edgewood High School","045856","Buckeye Local","Ashtabula","Region 5","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009944","Wallace H Braden Middle School","045856","Buckeye Local","Ashtabula","Region 5","Open","009936","Junior High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009951","O R Edgington Elementary School","048728","Northmont City","Montgomery","Region 10","Open","027706","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","23","5.0"
"009953","Sullivant Avenue Community School","009953","Sullivant Avenue Community School","Franklin","Region 11","Open","******","Community School Startup","LEP","58.3","65.2","80.6","64.5","23.1","7.7","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","164","36.8"
"009954","Harrisburg Pike Community School","009954","Harrisburg Pike Community School","Franklin","Region 11","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.0","--","--","11","2.6"
"009955","Madison Avenue School of Arts","009955","Madison Avenue School of Arts","Lucas","Region 1","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009957","Klepinger Community School","009957","Klepinger Community School","Montgomery","Region 10","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009964","Sciotoville Elementary Academy","009964","Sciotoville Elementary Academy","Scioto","Region 15","Open","******","Community School Startup","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009968","Sandy Valley Elementary School","049940","Sandy Valley Local","Stark","Region 9","Open","009972","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
