"Building IRN","Building Name","District IRN","District Name","County","Region","Open/Closed Status (as of 9/1/2014)","Feeder IRN","School Type","Gifted ","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"000952","Columbus Preparatory and Fitness Academy","000952","Columbus Preparatory and Fitness Academy","Franklin","Region 11","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000953","Mt. Healthy Preparatory and Fitness Academy","000953","Mt. Healthy Preparatory and Fitness Academy","Hamilton","Region 13","Open","","Community School Startup","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000968","Arlington Elementary School","044909","Toledo City","Lucas","Region 1","Open","003301","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","29","7.3"
"000976","Arlington Local Elementary School","047423","Arlington Local","Hancock","Region 1","Open","000992","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","27","10.2"
"000992","Arlington Local High School","047423","Arlington Local","Hancock","Region 1","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","70","26.1"
"001008","Arlington Park Elementary School","043802","Columbus City School District","Franklin","Region 11","Closed","024067","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"001024","Arrowhead Primary Elementary School","049981","Copley-Fairlawn City","Summit","Region 8","Open","007328","Elementary School","Gifted",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","55","18.2"
"001040","Artemus Ward","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","004895","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","14","3.0"
"001057","Arthur Road Elementary School","046607","Solon City","Cuyahoga","Region 3","Open","064162","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"001073","Asbury Elementary School","046979","Groveport Madison Local","Franklin","Region 11","Open","067934","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","34","7.5"
"001081","Ashland High School","043505","Ashland City","Ashland","Region 7","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","233","22.2"
"001099","Ashland Middle School","043505","Ashland City","Ashland","Region 7","Open","001081","Middle School","Gifted","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","123","23.7"
"001107","Buckeye Valley East Elementary School","046755","Buckeye Valley Local","Delaware","Region 11","Open","125245","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","15","4.3"
"001123","Lakeside High School","043513","Ashtabula Area City","Ashtabula","Region 5","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","90.0","--","66","6.1"
"001131","Ashville Elementary School","049098","Teays Valley Local","Pickaway","Region 11","Open","064188","Elementary School","Gifted","--","--",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","49","15.7"
"001149","Athens High School","043521","Athens City","Athens","Region 16","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","245","31.7"
"001172","Atkinson Elementary School","044016","Fremont City","Sandusky","Region 1","Open","012492","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"001180","Seneca East Elementary","049684","Seneca East Local","Seneca","Region 7","Open","061846","Elementary School","Gifted","--","--","--","--","90.0","90.0","90.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","32","7.3"
"001198","Seneca East High School","049684","Seneca East Local","Seneca","Region 7","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92.9",">95.0","92.9","92.9",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","54","19.6"
"001206","Waterloo Elementary School","049247","Waterloo Local","Portage","Region 8","Open","031054","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"001214","Atwater Elementary School","043760","Circleville City","Pickaway","Region 11","Closed","006338","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"001222","Auburn Elementary School","044776","Shelby City","Richland","Region 7","Open","034298","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"001230","Timmons Elementary School","047191","Kenston Local","Geauga","Region 4","Open","029439","Elementary School","Gifted",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","168","22.3"
"001255","Oakwood Elementary School","045575","Paulding Exempted Village","Paulding","Region 1","Open","029447","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","16","6.5"
"001271","Augusta Elementary School","045278","Carrollton Exempted Village","Carroll","Region 12","Open","081752","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"001297","Aurora High School","049171","Aurora City","Portage","Region 8","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","322","32.4"
"001313","Craddock/Miller Elementary School","049171","Aurora City","Portage","Region 8","Open","140889","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"001321","Austinburg Elementary School","044057","Geneva Area City","Ashtabula","Region 5","Open","013227","Elementary School","Gifted","--","--","--","--",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","18","5.7"
"001339","Austintown Middle School","048298","Austintown Local","Mahoning","Region 5","Open","011791","Middle School","Gifted","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","116","8.8"
"001347","Avery Elementary School","047019","Hilliard City","Franklin","Region 11","Open","140814","Elementary School","Gifted","--","--",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","42","11.3"
"001354","Avon East Elementary School","048116","Avon Local","Lorain","Region 2","Open","000701","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","170","25.9"
"001362","Avon Village Elementary School","048116","Avon Local","Lorain","Region 2","Open","001354","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"001370","Avon High School","048116","Avon Local","Lorain","Region 2","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","242","21.2"
"001388","Avon Lake High School","048124","Avon Lake City","Lorain","Region 2","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","298","27.3"
"001396","Avondale Elementary School","043802","Columbus City School District","Franklin","Region 11","Open","035824","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","12","3.8"
"001404","Avondale Elementary School","049932","Plain Local","Stark","Region 9","Open","036848","Elementary School","Gifted",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","77","28.1"
"001412","Ayersville Elementary School","046706","Ayersville Local","Defiance","Region 1","Open","001420","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"001420","Ayersville High School","046706","Ayersville Local","Defiance","Region 1","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","28","7.3"
"001438","Babeck Early Childhood School","046094","Edgewood City","Butler","Region 13","Open","002923","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"001446","Badger High School","050179","Joseph Badger Local","Trumbull","Region 5","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","48","17.9"
"001453","Paint Valley Middle School","049510","Paint Valley Local","Ross","Region 15","Open","029025","Middle School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","13","8.4"
"001461","Baker Elementary School","050153","Mathews Local","Trumbull","Region 5","Open","026500","Elementary School","Gifted",">95.0",">95.0","--","--","92.9",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","54","23.1"
"001537","Barber Community Learning Center","043489","Akron City","Summit","Region 8","Open","009498","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","13","4.0"
"001545","Barberton High School","043539","Barberton City","Summit","Region 8","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0","91.7",">95.0",">95.0",">95.0",">95.0",">95.0","94.3",">95.0",">95.0","99","8.8"
"001578","Barlow-Vincent Elementary School","050500","Warren Local","Washington","Region 16","Open","039248","Elementary School","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0","93.1",">95.0","95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","171","23.8"
"001594","Barnesville Elementary School","045203","Barnesville Exempted Village","Belmont","Region 12","Open","064600","Elementary School","Gifted",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","90","17.4"
"001602","Barnesville High School","045203","Barnesville Exempted Village","Belmont","Region 12","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0","94.4",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","103","28.4"
"001628","William Barr Elementary School","044768","Sheffield-Sheffield Lake City","Lorain","Region 2","Open","012005","Elementary School","Gifted","--","--",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","29","22.8"
"001644","Barrington Road Elementary School","044933","Upper Arlington City","Franklin","Region 11","Open","018531","Elementary School","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","156","23.7"
"001669","Bascom Elementary School","050245","LaBrae Local","Trumbull","Region 5","Open","003335","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"001677","Bassett Elementary School","045062","Westlake City","Cuyahoga","Region 3","Open","029207","Elementary School","Gifted",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","54","13.1"
"001685","Bataan Memorial Primary School","044651","Port Clinton City","Ottawa","Region 1","Open","018093","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"001693","Batavia Elementary School","046300","Batavia Local","Clermont","Region 13","Open","124859","Elementary School","Gifted",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","101","11.1"
"001701","Batavia High School","046300","Batavia Local","Clermont","Region 13","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","176","28.1"
"001735","Bath Elementary School","050054","Revere Local","Summit","Region 8","Open","009720","Elementary School","Gifted","--","--",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","177","44.0"
"001743","Bath Elementary School","045765","Bath Local","Allen","Region 6","Open","001768","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"001750","Bath High School","045765","Bath Local","Allen","Region 6","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","10","1.9"
"001768","Bath Middle School","045765","Bath Local","Allen","Region 6","Open","001750","Middle School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"001776","Bauer Elementary School","044396","Miamisburg City","Montgomery","Region 10","Open","039156","Elementary School","Gifted","--","--",">95.0",">95.0",">95.0","93.8","92.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","65","17.1"
"001792","Bay High School","043547","Bay Village City","Cuyahoga","Region 3","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","304","38.5"
"001800","Bay Middle School","043547","Bay Village City","Cuyahoga","Region 3","Open","001792","Middle School","Gifted","--","--","--","--","93.1",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","190","24.2"
"001818","Lakeview Elementary School","050187","Lakeview Local","Trumbull","Region 5","Open","071027","Elementary School","Gifted",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","101","20.7"
"001842","Beachwood High School","043554","Beachwood City","Cuyahoga","Region 3","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","115","21.4"
"001859","Beacon Elementary School","047019","Hilliard City","Franklin","Region 11","Open","140814","Elementary School","Gifted","--","--",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","34","7.6"
"001875","Beallsville Elementary School","048652","Switzerland of Ohio Local","Monroe","Region 12","Open","001883","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","67","31.2"
"001883","Beallsville High School","048652","Switzerland of Ohio Local","Monroe","Region 12","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","94.4","55.6","83.3","75.0","41.7",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","93.9","--",">95.0","62","34.1"
"001891","Bear Elementary School","044396","Miamisburg City","Montgomery","Region 10","Open","039156","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","28","12.8"
"001917","Beatty Park Elementary School","043802","Columbus City School District","Franklin","Region 11","Open","000513","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"001925","Columbus Spanish Immersion K-8 School","043802","Columbus City School District","Franklin","Region 11","Open","011995","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","26","8.1"
"001933","Beaver Local Middle School","046425","Beaver Local","Columbiana","Region 5","Open","001958","Middle School","Gifted","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","43","6.8"
"001958","Beaver Local High School","046425","Beaver Local","Columbiana","Region 5","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","94.4",">95.0",">95.0","79","13.0"
"001966","Beavercreek High School","047241","Beavercreek City","Greene","Region 10","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","548","22.7"
"001982","Beavertown Elementary School","044180","Kettering City","Montgomery","Region 10","Open","018911","Elementary School","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","55","16.4"
"002022","Bedford High School","043562","Bedford City","Cuyahoga","Region 3","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","89.5","94.4","51","4.8"
"002048","Beechwood Elementary School","045070","Whitehall City","Franklin","Region 11","Open","032698","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","15","2.9"
"002055","Winton Woods Primary North","044081","Winton Woods City","Hamilton","Region 13","Open","066787","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","10","2.4"
"002097","Belden Elementary School","043711","Canton City","Stark","Region 9","Open","015495","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"002139","Bellaire High School","043570","Bellaire Local","Belmont","Region 12","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","92.3","92.3",">95.0","92.3",">95.0",">95.0",">95.0",">95.0",">95.0","95.0","83.3",">95.0","64","17.3"
"002147","Bellbrook Middle School","047274","Bellbrook-Sugarcreek Local School District","Greene","Region 10","Open","002154","Middle School","Gifted","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","194","31.2"
"002154","Bellbrook High School","047274","Bellbrook-Sugarcreek Local School District","Greene","Region 10","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","205","24.1"
"002170","Benjamin Logan Elementary School","048074","Benjamin Logan Local","Logan","Region 6","Open","061952","Elementary School","Gifted",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","31","4.6"
"002196","Belle Haven PreK-8 School","043844","Dayton City","Montgomery","Region 10","Open","006841","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"002220","Bellefontaine High School","043588","Bellefontaine City","Logan","Region 6","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","168","22.1"
"002246","Bellevue High School","043596","Bellevue City","Huron","Region 2","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","68","10.4"
"002253","Bellevue Middle School","043596","Bellevue City","Huron","Region 2","Open","002246","Middle School","Gifted","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","42","8.6"
"002279","Bellville Elementary School","049411","Clear Fork Valley Local","Richland","Region 7","Open","134692","Elementary School","Gifted","--","--","--","--",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","29","7.2"
"002303","Belmont High School","043844","Dayton City","Montgomery","Region 10","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0","89.1","--","--","30","3.2"
"002311","Damascus Elementary","048389","West Branch Local","Mahoning","Region 5","Open","038547","Elementary School","Gifted",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","58","14.2"
"002337","Belpre High School","043604","Belpre City","Washington","Region 16","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","82","17.3"
"002352","Gearity Professional Development School","043794","Cleveland Heights-University Heights City","Cuyahoga","Region 3","Open","******","Elementary School","Gifted","--","--","--","--",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","17","5.3"
"002378","Benjamin Franklin","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","017830","Elementary School","Gifted","93.3","93.3",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","93.3","86.7",">95.0","88.9","77.8","--","--","--","--","--","--","--","--","--","--","94.2","--","--","99","17.1"
"002394","Bennett Intermediate Elementary School","044644","Piqua City","Miami","Region 10","Open","137463","Elementary School","Gifted","--","--",">95.0","91.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.4","--","--","22","8.2"
"002436","Berkshire High School","047167","Berkshire Local","Geauga","Region 4","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--"
"002444","Western Reserve Middle School","048397","Western Reserve Local","Mahoning","Region 5","Open","042333","Middle School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","14","7.7"
"002451","Berlin Elementary School","047688","East Holmes Local","Holmes","Region 12","Open","016220","Elementary School","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","59","17.7"
"002485","Edison Middle School (formerly Berlin-Milan Middle School)","046789","Edison Local (formerly Berlin-Milan)","Erie","Region 2","Open","010041","Middle School","Gifted","--","--",">95.0","94.3","--","--","--","--","--",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","69","12.2"
"002493","Berne Union Elementary School","046854","Berne Union Local","Fairfield","Region 11","Open","002501","Elementary School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"002501","Berne Union High School","046854","Berne Union Local","Fairfield","Region 11","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--",">95.0","--","--","35","8.6"
"002519","Berry Intermediate School","044214","Lebanon City","Warren","Region 13","Open","000493","Elementary School","Gifted","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","236","26.5"
"002527","Berwick Alternative K-8 School","043802","Columbus City School District","Franklin","Region 11","Open","025346","Elementary School","Gifted",">95.0","94.1",">95.0","81.3","76.0","76.0","88.0","91.7","83.3",">95.0","91.7",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","143","19.7"
"002543","Bethel Elementary School","048611","Bethel Local","Miami","Region 10","Open","068080","Elementary School","Gifted","--","--",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","68","13.3"
"002568","Bethel Tate High School","046318","Bethel-Tate Local","Clermont","Region 13","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","110","23.2"
"002576","Bethel High School","048611","Bethel Local","Miami","Region 10","Open","******","High School","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","76","24.8"
