"District IRN","% enrolled less than 3 years","Charter Transfer"
"49270.0","","","165725.03"
"049973","049973","43.4",""
"046946","046946","35.9",""
"047399","047399","37.6",""
"045583","045583","34.6",""
"046359","046359","34.0",""
"047720","047720","40.6",""
"47902.0","","","111310.72"
"045658","045658","32.7",""
"049338","049338","32.4",""
"46649.0","","","59863.36"
"47548.0","","","113000.15"
"045872","045872","34.2",""
"048207","048207","30.3",""
"48041.0","","","1092124.27"
"45765.0","","","301288.65"
"50211.0","","","167816.91"
"46359.0","","","2091228.19"
"50302.0","","","219980.57"
"43729.0","","","396577.25"
"048744","048744","30.7",""
"063511","","",""
"45997.0","","","154319.38"
"046110","046110","31.1",""
"44222.0","","","3388274.11"
"050708","050708","31.4",""
"048595","048595","18.7",""
"46706.0","","","24070.50"
"048371","048371","31.0",""
"049908","049908","31.0",""
"048355","048355","39.3",""
"045955","045955","28.3",""
"043570","043570","38.0",""
"49106.0","","","271891.59"
"47944.0","","","112739.11"
"50674.0","","","149259.50"
"49288.0","","","210594.91"
"48884.0","","","358579.65"
"44271.0","","","296801.04"
"46326.0","","","385415.46"
"49494.0","","","180490.35"
"048900","048900","31.1",""
"043497","043497","39.4",""
"051003","","",""
"48710.0","","","187176.35"
"48421.0","","","563108.04"
"047712","047712","33.4",""
"045005","045005","59.4",""
"46805.0","","","246707.64"
"048447","048447","37.3",""
"43620.0","","","427998.00"
"45658.0","","","367960.78"
"044024","044024","37.7",""
"044537","044537","33.6",""
"47886.0","","","427476.24"
"50229.0","","","54849.00"
"44982.0","","","375241.53"
"46946.0","","","983418.72"
"43984.0","","","1700912.84"
"43711.0","","","7565211.69"
"50336.0","","","335786.32"
"47571.0","","","42100.08"
"043984","043984","41.4",""
"64964.0","","","24307.56"
"47928.0","","","46012.19"
"046607","046607","30.6",""
"47019.0","","","2201848.27"
"047944","047944","33.7",""
"47464.0","","","138845.58"
"050559","050559","34.4",""
"48512.0","","","100305.58"
"44677.0","","","714889.46"
"043976","043976","36.3",""
"045112","045112","39.2",""
"047829","047829","29.5",""
"046797","","",""
"49924.0","","","421968.10"
"046755","046755","32.9",""
"050799","","",""
"49452.0","","","1343415.85"
"47373.0","","","827589.15"
"046458","046458","31.5",""
"044446","044446","34.3",""
"044685","044685","38.8",""
"064964","064964","",""
"043877","043877","38.6",""
"49148.0","","","221711.37"
"44123.0","","","539876.56"
"049577","049577","33.6",""
"044321","044321","35.3",""
"051060","","",""
"050195","050195","44.6",""
"049569","049569","38.6",""
"48520.0","","","385054.84"
"50153.0","","","176537.50"
"049395","049395","28.1",""
"044925","044925","36.3",""
"047795","047795","30.1",""
"47167.0","","","284577.26"
"45872.0","","","490436.87"
"46813.0","","","368017.57"
"044016","044016","33.8",""
"50245.0","","","591503.31"
"50716.0","","","88147.92"
"050989","","",""
"043778","043778","34.0",""
"44149.0","","","199754.94"
