"School IRN","% enrolled less than 3 years","Virtual"
"000301","","100.0","Site Based"
"132795","","91.3","Site Based"
"000303","","100.0","Site Based"
"000302","000302","57.8","Site Based"
"064600","","17.1","Site Based"
"070532","","100.0","Site Based"
"133900","","","Site Based"
"010710","010710","58.8","Site Based"
"024422","","18.5","Site Based"
"025197","025197","65.3","Site Based"
"062422","","28.2","Site Based"
"001099","","18.4","Site Based"
"000781","000781","82.6","Site Based"
"000780","","100.0","Site Based"
"000782","","","Site Based"
"037291","","14.2","Site Based"
"000784","","","Site Based"
"065268","","","Site Based"
"013060","013060","63.3","Site Based"
"029801","029801","59.2","Site Based"
"034256","","17.9","Site Based"
"014639","","15.8","Site Based"
"026351","","19.0","Site Based"
"146464","146464","52.2","Site Based"
"031195","031195","65.6","Site Based"
"038646","038646","67.8","Site Based"
"037366","","21.7","Site Based"
"031021","031021","52.5","Site Based"
"029546","029546","56.8","Site Based"
"026591","","96.6","Site Based"
"042184","","30.5","Site Based"
"030932","","16.6","Site Based"
"010082","","26.0","Site Based"
"027961","","27.0","Site Based"
"038729","","20.5","Site Based"
"001321","001321","57.0","Site Based"
"005173","","22.0","Site Based"
"009108","009108","50.1","Site Based"
"009109","009109","56.4","Site Based"
"018440","","19.8","Site Based"
"000231","000231","59.5","Site Based"
"115873","","10.9","Site Based"
"009107","009107","59.2","Site Based"
"000235","","","Site Based"
"000234","000234","39.4","Site Based"
"000236","000236","85.5","ESchool"
"145352","145352","56.2","Site Based"
"010157","010157","62.6","Site Based"
"010158","010158","61.3","Site Based"
"011972","","100.0","Site Based"
"011973","","42.9","Site Based"
"030023","","24.6","Site Based"
"014121","014121","100.0","Site Based"
"011976","011976","80.1","Site Based"
"014704","","33.9","Site Based"
"070847","","23.5","Site Based"
"010884","","17.2","Site Based"
"011579","","91.8","Site Based"
"038174","","14.4","Site Based"
"036095","","25.1","Site Based"
"015651","015651","64.3","Site Based"
"014258","","8.6","Site Based"
"014259","","21.8","Site Based"
"035295","","20.0","Site Based"
"008672","","38.7","Site Based"
"022822","022822","32.2","Site Based"
"035147","035147","59.6","Site Based"
"041053","041053","44.4","Site Based"
"032961","032961","48.5","Site Based"
"011370","011370","59.8","Site Based"
"036251","","23.5","Site Based"
"000125","","100.0","Site Based"
"000124","000124","48.9","Site Based"
"004317","004317","60.1","Site Based"
"041756","041756","50.1","Site Based"
"041988","041988","58.6","Site Based"
"009218","","21.6","Site Based"
"031468","031468","62.7","Site Based"
"039875","039875","51.3","Site Based"
"009212","009212","60.1","Site Based"
"009213","","26.8","Site Based"
"005777","","18.5","Site Based"
"033613","033613","55.3","Site Based"
"009216","009216","59.4","Site Based"
"005405","005405","47.4","Site Based"
"037473","037473","60.5","Site Based"
"037705","","15.4","Site Based"
"011346","","17.4","Site Based"
"135566","135566","57.9","Site Based"
"018150","","59.0","Site Based"
"098483","098483","60.6","Site Based"
"004424","004424","80.1","Site Based"
"035501","","27.6","Site Based"
"004135","","27.6","Site Based"
"042358","042358","48.2","Site Based"
"010975","010975","54.3","Site Based"
"004952","004952","74.0","Site Based"
"148320","148320","45.1","Site Based"
"011114","","12.6","Site Based"
"093153","","70.4","Site Based"
"009075","009075","51.5","Site Based"
"011288","","14.0","Site Based"
"008078","008078","47.4","Site Based"
"149260","","","Site Based"
"142901","","100.0","Site Based"
"009078","009078","51.8","Site Based"
"065581","065581","56.0","Site Based"
"035345","","17.6","Site Based"
"023523","023523","100.0","Site Based"
"015099","","16.7","Site Based"
"008278","008278","74.7","Site Based"
"012951","","100.0","Site Based"
"041517","041517","61.5","Site Based"
"004556","","9.4","Site Based"
"035618","","21.7","Site Based"
"013532","","19.8","Site Based"
"004044","","93.5","Site Based"
"034520","034520","46.8","Site Based"
"064303","064303","24.5","Site Based"
"022699","022699","62.8","Site Based"
"135301","","12.3","Site Based"
"007054","","15.1","Site Based"
"003020","003020","46.8","Site Based"
"023986","","52.5","Site Based"
"095794","","11.5","Site Based"
"012009","012009","80.9","Site Based"
"011023","011023","58.2","Site Based"
"015073","015073","59.1","Site Based"
"061374","","95.1","Site Based"
"012005","","26.5","Site Based"
"146308","","16.4","Site Based"
"044966","","","Site Based"
"012000","","100.0","Site Based"
"012002","","","Site Based"
"037424","","17.7","Site Based"
"033191","033191","64.1","Site Based"
"068619","068619","24.0","Site Based"
"011593","011593","48.5","Site Based"
"019273","","94.0","Site Based"
"081752","","17.5","Site Based"
"032748","","15.3","Site Based"
"000368","","","Site Based"
"140988","","12.6","Site Based"
"003335","003335","22.9","Site Based"
"062182","","25.3","Site Based"
"038901","038901","51.2","Site Based"
"134148","134148","100.0","Site Based"
"013284","","32.2","Site Based"
"134189","","","Site Based"
"032862","032862","69.2","Site Based"
"008896","","33.0","Site Based"
"003244","003244","66.1","Site Based"
"085084","","19.8","Site Based"
"036657","","27.8","Site Based"
"038695","","12.2","Site Based"
"013992","","","Site Based"
"027631","","90.1","Site Based"
"013994","","100.0","Site Based"
"013995","","37.8","Site Based"
"022855","","28.9","Site Based"
"013999","013999","100.0","Site Based"
"149005","","","Site Based"
"118331","118331","63.4","Site Based"
"000662","","","Site Based"
"021576","","15.9","Site Based"
"067736","","41.3","Site Based"
"016832","016832","49.9","Site Based"
"011627","","27.3","Site Based"
"134098","134098","76.2","Site Based"
"019406","","32.5","Site Based"
"142000","","14.8","Site Based"
"098418","","17.8","Site Based"
"041335","041335","71.9","Site Based"
"022103","","26.4","Site Based"
"008304","008304","63.7","Site Based"
"034934","034934","58.7","Site Based"
"008300","","18.8","Site Based"
"008303","","","Site Based"
"022459","022459","53.6","Site Based"
"008309","","32.3","Site Based"
"038927","038927","44.5","Site Based"
"123547","","18.2","Site Based"
"007302","007302","49.1","Site Based"
"017830","","26.8","Site Based"
"133785","","100.0","Site Based"
"067918","067918","56.6","Site Based"
"017293","","15.7","Site Based"
"024984","","14.8","Site Based"
"132266","132266","56.0","Site Based"
"013198","013198","100.0","Site Based"
"013199","","100.0","Site Based"
"041194","041194","100.0","Site Based"
"036400","036400","25.8","Site Based"
"123521","","","Site Based"
"013193","013193","69.4","Site Based"
"013195","013195","100.0","Site Based"
"029306","029306","52.1","Site Based"
"013957","","47.7","Site Based"
"037101","037101","100.0","Site Based"
"025585","025585","56.1","Site Based"
"024851","","17.2","Site Based"
"012229","012229","67.1","Site Based"
"133322","133322","83.6","Site Based"
"021022","021022","59.8","Site Based"
"067827","","5.9","Site Based"
"098566","","24.2","Site Based"
"019711","019711","62.6","Site Based"
"066514","066514","45.6","Site Based"
"007948","007948","40.1","Site Based"
"021378","021378","57.4","Site Based"
"039651","039651","57.2","Site Based"
"043372","","19.3","Site Based"
"006015","006015","46.0","Site Based"
"024216","","30.4","Site Based"
"020776","020776","62.7","Site Based"
"002048","002048","71.9","Site Based"
"016725","016725","48.2","Site Based"
"033290","","18.4","Site Based"
"001669","","88.2","Site Based"
"028548","","14.2","Site Based"
"007542","007542","56.0","Site Based"
"015040","015040","53.3","Site Based"
"006494","","19.8","Site Based"
"003806","003806","54.5","Site Based"
"018481","","18.0","Site Based"
"013268","013268","63.8","Site Based"
"001404","001404","65.3","Site Based"
"123836","","14.9","Site Based"
"041046","","25.5","Site Based"
"019372","019372","67.9","Site Based"
"016659","016659","51.8","Site Based"
"025296","025296","49.9","Site Based"
"006940","","43.0","Site Based"
"036889","036889","55.9","Site Based"
"040063","","24.5","Site Based"
"016121","016121","62.2","Site Based"
"016345","","22.0","Site Based"
"000429","000429","60.9","Site Based"
"000938","","85.3","Site Based"
"042515","042515","52.5","Site Based"
"000936","","96.6","Site Based"
"000426","","100.0","Site Based"
"000935","","13.0","Site Based"
"000420","000420","81.0","Site Based"
"000930","","100.0","Site Based"
"064857","","27.5","Site Based"
"021774","021774","50.5","Site Based"
"039099","","23.1","Site Based"
"132258","","20.4","Site Based"
"095679","095679","23.3","Site Based"
"024505","","21.0","Site Based"
"006304","006304","72.0","Site Based"
"002683","","18.3","Site Based"
"031724","031724","53.6","Site Based"
"038307","","11.0","Site Based"
"040246","040246","36.9","Site Based"
"143537","143537","85.4","ESchool"
"002444","","15.0","Site Based"
"091371","","19.7","Site Based"
"001792","","10.5","Site Based"
"037176","037176","54.2","Site Based"
"020990","","14.1","Site Based"
"005132","005132","58.9","Site Based"
"061515","","63.8","Site Based"
"001883","","16.7","Site Based"
"033340","","19.4","Site Based"
"132787","132787","71.1","Site Based"
"145581","145581","38.1","Site Based"
"037960","","22.5","Site Based"
"020420","","11.7","Site Based"
"000680","","","Site Based"
"027185","027185","52.2","Site Based"
"037820","037820","34.7","Site Based"
"030833","","22.7","Site Based"
"000684","","","Site Based"
"000687","","13.8","Site Based"
"000338","000338","96.2","Site Based"
"148981","","100.0","Site Based"
"001537","001537","57.3","Site Based"
"065672","065672","21.2","Site Based"
"061622","","16.3","Site Based"
"005827","","36.4","Site Based"
"042424","042424","55.7","Site Based"
"061291","","15.6","Site Based"
"036194","036194","67.5","Site Based"
"001081","","20.2","Site Based"
"035659","","0.0","Site Based"
"133819","133819","100.0","Site Based"
"151167","","100.0","Site Based"
"017145","017145","39.3","Site Based"
"030585","","15.7","Site Based"
"064089","064089","48.4","Site Based"
"036582","","28.2","Site Based"
"040485","","14.3","Site Based"
"044487","","","Site Based"
"037911","","15.3","Site Based"
"067892","067892","46.2","Site Based"
"151183","","100.0","Site Based"
"031187","","19.6","Site Based"
"030908","","0.0","Site Based"
"010504","010504","20.7","Site Based"
"148809","148809","65.8","Site Based"
"029553","","15.5","Site Based"
"009688","009688","57.6","Site Based"
"000752","","7.1","Site Based"
"000343","","","Site Based"
"000208","","15.5","Site Based"
"017202","017202","62.1","Site Based"
"027565","","51.1","Site Based"
"011967","011967","100.0","Site Based"
"011965","","41.6","Site Based"
"031054","","19.5","Site Based"
"001339","","23.2","Site Based"
"149252","","","Site Based"
"009113","009113","51.0","Site Based"
"009112","009112","54.1","Site Based"
"124073","","25.0","Site Based"
"009117","","30.7","Site Based"
"009116","","15.3","Site Based"
"026906","","21.0","Site Based"
"014139","014139","100.0","Site Based"
"020172","020172","22.7","Site Based"
"010164","010164","54.5","Site Based"
"014132","014132","","Site Based"
"010166","","16.4","Site Based"
"014130","","","Site Based"
"014136","014136","100.0","Site Based"
"010162","010162","47.2","Site Based"
"010163","010163","54.6","Site Based"
"010216","","36.0","Site Based"
"014712","","47.7","Site Based"
"011569","","32.6","Site Based"
"010215","010215","65.4","Site Based"
"014241","014241","76.3","Site Based"
"026633","026633","37.8","Site Based"
"014242","","21.2","Site Based"
"036087","036087","56.2","Site Based"
"028373","","14.4","Site Based"
"027367","","23.6","Site Based"
"010182","010182","85.8","Site Based"
"008649","008649","64.2","Site Based"
"010180","010180","100.0","Site Based"
"036244","","16.8","Site Based"
"026765","","12.2","Site Based"
"011609","","3.0","Site Based"
"000726","","","Site Based"
"038547","","14.4","Site Based"
"009201","","32.1","Site Based"
"009200","","4.8","Site Based"
"000118","","32.4","Site Based"
"000119","","18.6","Site Based"
"014399","014399","35.7","Site Based"
"027169","","15.4","Site Based"
"151217","","","Site Based"
"035196","","17.8","Site Based"
