"School IRN","% enrolled less than 3 years","Virtual"
"000941","000941","76.9","Site Based"
"000946","000946","92.2","Site Based"
"040360","040360","20.8","Site Based"
"037986","","19.5","Site Based"
"040410","040410","22.7","Site Based"
"000725","000725","78.8","Site Based"
"000729","000729","62.0","Site Based"
"041830","041830","56.7","Site Based"
"145466","145466","26.8","Site Based"
"024000","024000","58.2","Site Based"
"061937","061937","47.7","Site Based"
"020057","","22.5","Site Based"
"029702","","19.5","Site Based"
"002782","","12.6","Site Based"
"133959","","","Site Based"
"008284","008284","59.4","Site Based"
"133934","","","Site Based"
"041855","041855","52.3","Site Based"
"041541","041541","48.4","Site Based"
"001123","","19.5","Site Based"
"020784","020784","64.8","Site Based"
"002618","002618","77.9","Site Based"
"028605","","14.2","Site Based"
"020453","","23.4","Site Based"
"000836","000836","41.6","Site Based"
"014456","","15.0","Site Based"
"034199","","48.0","Site Based"
"000831","000831","56.4","Site Based"
"023572","023572","63.4","Site Based"
"024208","","17.3","Site Based"
"008847","","11.3","Site Based"
"010314","","15.5","Site Based"
"008282","","100.0","Site Based"
"014148","","100.0","Site Based"
"010462","","23.1","Site Based"
"011993","011993","52.2","Site Based"
"011991","","","Site Based"
"011996","","19.9","Site Based"
"011997","","26.0","Site Based"
"011994","","25.2","Site Based"
"011995","","23.3","Site Based"
"026468","","14.3","Site Based"
"027110","027110","47.9","Site Based"
"068221","068221","52.9","Site Based"
"000616","","80.2","Site Based"
"000615","","","Site Based"
"000614","","100.0","Site Based"
"000613","000613","71.1","Site Based"
"000612","","22.2","Site Based"
"000610","","100.0","Site Based"
"005066","005066","53.3","Site Based"
"070201","","17.7","Site Based"
"132779","","100.0","Site Based"
"014811","014811","56.2","Site Based"
"001230","001230","70.6","Site Based"
"034181","034181","65.5","Site Based"
"018531","","15.1","Site Based"
"029413","029413","63.3","Site Based"
"024646","024646","45.4","Site Based"
"018820","018820","59.5","Site Based"
"028118","028118","61.5","Site Based"
"035238","035238","71.1","Site Based"
"010007","010007","79.6","Site Based"
"010006","","","Site Based"
"010005","","77.2","Site Based"
"010004","010004","45.4","Site Based"
"010002","","87.6","Site Based"
"014035","014035","50.2","Site Based"
"026864","026864","60.2","Site Based"
"030759","","28.4","Site Based"
"027599","027599","62.4","Site Based"
"014498","","14.8","Site Based"
"034611","034611","54.1","Site Based"
"067322","","15.6","Site Based"
"026641","","6.8","Site Based"
"142984","","","Virtual School"
"134692","","19.6","Site Based"
"145086","","13.2","Site Based"
"005710","","14.4","Site Based"
"014365","","11.0","Site Based"
"008763","008763","24.9","Site Based"
"026880","026880","63.6","Site Based"
"146860","","15.5","Site Based"
"084988","","17.6","Site Based"
"012541","012541","100.0","Site Based"
"000059","000059","50.7","Site Based"
"028555","","21.7","Site Based"
"005397","","21.2","Site Based"
"009365","009365","22.1","Site Based"
"023036","","15.0","Site Based"
"028076","","15.0","Site Based"
"027201","027201","50.0","Site Based"
"034504","034504","58.1","Site Based"
"005660","","36.8","Site Based"
"031575","031575","69.9","Site Based"
"098467","098467","36.0","Site Based"
"029892","029892","53.8","Site Based"
"009167","009167","52.0","Site Based"
"009164","009164","100.0","Site Based"
"009165","","","Site Based"
"009162","","","Site Based"
"009163","009163","85.7","Site Based"
"009160","009160","66.5","Site Based"
"035675","","18.9","Site Based"
"013110","","16.3","Site Based"
"012644","012644","100.0","Site Based"
"012643","","","Site Based"
"014027","","16.8","Site Based"
"012641","","2.9","Site Based"
"009381","","92.7","Site Based"
"032581","","19.6","Site Based"
"018002","018002","67.6","Site Based"
"015560","","31.2","Site Based"
"008490","008490","43.5","Site Based"
"068452","","15.1","Site Based"
"011518","","18.3","Site Based"
"005801","005801","62.2","Site Based"
"042028","042028","67.3","Site Based"
"011511","011511","100.0","Site Based"
"121871","","89.9","Site Based"
"010868","010868","50.2","Site Based"
"008162","008162","61.1","Site Based"
"015966","015966","67.9","Site Based"
"098590","","2.6","Site Based"
"032276","","36.1","Site Based"
"003624","","33.4","Site Based"
"004622","","15.6","Site Based"
"098079","098079","52.6","Site Based"
"011197","011197","57.7","Site Based"
"015149","015149","53.8","Site Based"
"009704","009704","51.8","Site Based"
"037697","","17.4","Site Based"
"064311","","10.1","Site Based"
"139287","","14.6","Site Based"
"013912","","88.1","Site Based"
"013915","","","Site Based"
"004754","004754","17.1","Site Based"
"021592","","19.7","Site Based"
"147215","","96.9","Site Based"
"009944","","18.4","Site Based"
"070920","070920","25.3","Site Based"
"098491","098491","62.6","Site Based"
"040964","","28.1","Site Based"
"011429","","18.8","Site Based"
"022186","","38.3","Site Based"
"008383","008383","49.9","Site Based"
"124222","","22.9","Site Based"
"035477","","25.4","Site Based"
"028290","028290","47.1","Site Based"
"023218","","15.7","Site Based"
"120279","120279","51.2","Site Based"
"008540","008540","73.6","Site Based"
"008946","008946","52.0","Site Based"
"032128","032128","56.1","Site Based"
"007633","007633","50.6","Site Based"
"025346","","18.3","Site Based"
"015214","","23.4","Site Based"
"036145","036145","28.6","Site Based"
"120360","120360","54.8","Site Based"
"012518","012518","75.7","Site Based"
"038760","","12.4","Site Based"
"134213","134213","100.0","Site Based"
"012515","","31.1","Site Based"
"012514","","28.0","Site Based"
"012513","012513","100.0","Site Based"
"013599","013599","54.4","Site Based"
"011734","","16.8","Site Based"
"133538","133538","71.8","Site Based"
"011732","011732","53.8","Site Based"
"037499","037499","61.1","Site Based"
"133637","","","Site Based"
"025742","025742","16.0","Site Based"
"041509","","22.2","Site Based"
"003400","","17.1","Site Based"
"066746","066746","56.6","Site Based"
"007120","007120","62.6","Site Based"
"043752","","","Site Based"
"017129","017129","46.4","Site Based"
"036624","036624","50.1","Site Based"
"067843","","14.9","Site Based"
"142190","","22.9","Site Based"
"002576","","24.6","Site Based"
"029090","029090","53.3","Site Based"
"133389","","100.0","Site Based"
"013771","013771","64.5","Site Based"
"061663","061663","48.7","Site Based"
"008839","008839","52.9","Site Based"
"029256","029256","44.4","Site Based"
"033050","","0.0","Site Based"
"143180","","","Site Based"
"024901","024901","57.3","Site Based"
"022657","","18.0","Site Based"
"142513","","19.2","Site Based"
"067991","","22.2","Site Based"
"066464","","16.1","Site Based"
"012350","012350","67.7","Site Based"
"012353","","27.2","Site Based"
"012352","","28.4","Site Based"
"012355","","41.1","Site Based"
"019661","","14.6","Site Based"
"036772","036772","59.7","Site Based"
"042804","","24.0","Site Based"
"138552","","14.9","Site Based"
"006890","","26.1","Site Based"
"061366","061366","19.0","Site Based"
"022764","","17.8","Site Based"
"133702","","","Site Based"
"133561","133561","75.2","Site Based"
"043265","","19.2","Site Based"
"145722","145722","22.4","Site Based"
"066480","","19.4","Site Based"
"048041","","","Site Based"
"016188","016188","61.8","Site Based"
"042440","042440","49.9","Site Based"
"016634","016634","73.0","Site Based"
"038950","","32.5","Site Based"
"138958","","22.3","Site Based"
"024349","","14.2","Site Based"
"003970","","14.1","Site Based"
"122507","122507","47.7","Site Based"
"039701","","13.7","Site Based"
"061598","","23.2","Site Based"
"030437","030437","55.3","Site Based"
"113910","113910","31.8","Site Based"
"023531","023531","51.7","Site Based"
"143628","","","Site Based"
"036970","036970","51.7","Site Based"
"040774","040774","50.4","Site Based"
"013173","013173","100.0","Site Based"
"013170","013170","100.0","Site Based"
"039495","","16.7","Site Based"
"013177","","17.8","Site Based"
"013174","013174","100.0","Site Based"
"013175","013175","100.0","Site Based"
"041178","041178","76.3","Site Based"
"019208","019208","55.4","Site Based"
"006098","","21.5","Site Based"
"133413","133413","93.1","ESchool"
"132944","132944","75.0","Site Based"
"024836","024836","55.0","Site Based"
"042150","","33.7","Site Based"
"040170","040170","30.8","Site Based"
"001958","","14.2","Site Based"
"025965","025965","20.9","Site Based"
"000534","","87.3","Site Based"
"017699","","17.7","Site Based"
"000539","000539","20.9","Site Based"
"021469","021469","46.9","Site Based"
"146837","146837","26.1","Site Based"
"025387","025387","64.4","Site Based"
"002022","","29.6","Site Based"
"001008","001008","63.2","Site Based"
"138826","","100.0","Site Based"
"006072","","25.1","Site Based"
"038430","038430","58.9","Site Based"
"039149","039149","52.1","Site Based"
"002758","002758","54.9","Site Based"
"029074","","7.1","Site Based"
"033985","","12.6","Site Based"
"020594","","13.4","Site Based"
"088963","088963","55.1","Site Based"
"035873","035873","62.2","Site Based"
"039388","039388","64.2","Site Based"
"143487","143487","68.1","Site Based"
"006387","006387","64.7","Site Based"
"142331","","11.0","Site Based"
"143131","","100.0","Site Based"
"025981","025981","47.2","Site Based"
"149419","","","Site Based"
"027052","","22.1","Site Based"
"000504","","","Site Based"
"143313","143313","100.0","Site Based"
"000288","000288","86.1","Virtual School"
"061846","","13.9","Site Based"
"017079","","100.0","Site Based"
"041822","041822","64.4","Site Based"
"026500","","11.5","Site Based"
"030155","","15.3","Site Based"
"000282","","100.0","Virtual School"
"029843","","12.3","Site Based"
"000992","","11.3","Site Based"
"133967","","","Site Based"
"025791","025791","62.0","Site Based"
"000448","000448","44.5","Site Based"
"024018","024018","48.9","Site Based"
"031583","","53.2","Site Based"
"000445","","100.0","Site Based"
"021519","","23.6","Site Based"
"017582","","15.0","Site Based"
"020024","020024","65.6","Site Based"
"035063","","41.4","Site Based"
"151076","","100.0","Virtual School"
"002626","","0.0","Site Based"
"001131","001131","56.4","Site Based"
"034694","034694","39.9","Site Based"
"028613","","14.0","Site Based"
"145870","145870","63.2","Site Based"
"031740","","19.6","Site Based"
"000843","000843","100.0","Site Based"
"000840","","32.9","Site Based"
"000841","","27.4","Site Based"
"143552","143552","55.3","Site Based"
"000844","","20.7","Site Based"
"017459","","37.5","Site Based"
"033522","033522","59.7","Site Based"
"010454","010454","60.2","Site Based"
"014158","","100.0","Site Based"
"010108","010108","44.4","Site Based"
"012633","012633","39.3","Site Based"
"014156","","","Site Based"
"011985","011985","100.0","Site Based"
"035642","","3.3","Site Based"
"011987","","100.0","Site Based"
"011986","011986","81.8","Site Based"
"009571","","12.3","Site Based"
"012631","012631","100.0","Site Based"
"000190","000190","46.1","Site Based"
"000663","","69.8","Site Based"
"068239","","13.9","Site Based"
"140020","","","Site Based"
"000195","","","Site Based"
"000664","","100.0","Site Based"
"000197","","100.0","Site Based"
"014803","","27.4","Site Based"
"031104","","25.0","Site Based"
"005017","","15.6","Site Based"
"001222","001222","68.6","Site Based"
"132761","132761","80.5","Site Based"
"061630","","19.3","Site Based"
"024653","024653","71.9","Site Based"
"027870","027870","52.1","Site Based"
"010074","","24.0","Site Based"
"026872","","32.1","Site Based"
"005728","005728","66.0","Site Based"
"014373","","26.7","Site Based"
"026658","026658","64.7","Site Based"
"034603","034603","58.9","Site Based"
"000067","","13.4","Site Based"
"008714","008714","59.1","Site Based"
"015818","015818","42.6","Site Based"
"000265","000265","56.8","Site Based"
"065433","065433","60.7","Site Based"
"068528","","29.9","Site Based"
"009373","","21.3","Site Based"
"031369","031369","21.8","Site Based"
"018259","","37.7","Site Based"
"120485","","21.8","Site Based"
"009179","","100.0","Site Based"
"009178","","","Site Based"
"010298","010298","69.0","Site Based"
"005124","005124","58.8","Site Based"
"010295","010295","70.8","Site Based"
"009171","009171","81.4","Site Based"
"014795","014795","57.7","Site Based"
"032599","032599","54.2","Site Based"
"005835","","16.6","Site Based"
"014571","","15.8","Site Based"
"004838","004838","65.2","Site Based"
"037515","","13.0","Site Based"
"015511","015511","73.7","Site Based"
"018077","018077","51.6","Site Based"
"005348","","23.2","Site Based"
"042036","042036","49.4","Site Based"
"151928","151928","54.3","Site Based"
"011507","","75.1","Site Based"
"011506","","89.1","Site Based"
"082578","","15.0","Site Based"
"031963","031963","40.6","Site Based"
"011502","","17.2","Site Based"
"032268","032268","61.8","Site Based"
"115881","115881","63.9","Site Based"
"027300","","100.0","Site Based"
"008151","008151","61.6","Site Based"
"015990","015990","59.6","Site Based"
"032912","032912","72.1","Site Based"
"004630","004630","75.3","Site Based"
"140590","","14.9","Site Based"
"014480","","19.4","Site Based"
"011189","011189","68.8","Site Based"
"009712","009712","58.9","Site Based"
"015172","","12.8","Site Based"
"042283","","16.4","Site Based"
"125781","","19.1","Site Based"
"028829","028829","47.6","Site Based"
"003368","003368","59.2","Site Based"
"026914","026914","54.8","Site Based"
"023374","023374","48.7","Site Based"
"004747","","14.0","Site Based"
"038604","038604","59.1","Site Based"
"005900","005900","47.1","Site Based"
"023689","023689","51.7","Site Based"
"009957","009957","56.3","Site Based"
"009955","009955","83.7","Site Based"
"009954","009954","73.9","Site Based"
"009953","009953","73.8","Site Based"
"009951","009951","49.3","Site Based"
"026393","","18.0","Site Based"
"011439","011439","94.6","Site Based"
"022038","","20.6","Site Based"
"149369","","","Site Based"
"010926","","24.8","Site Based"
"011430","011430","57.1","Site Based"
"031070","031070","72.9","Site Based"
"139360","139360","52.7","Site Based"
"098640","","16.1","Site Based"
"011436","","100.0","Site Based"
"008029","008029","61.7","Site Based"
"120261","","21.1","Site Based"
"009001","009001","69.9","Site Based"
"008532","","25.3","Site Based"
"035485","","24.1","Site Based"
"032508","","31.5","Site Based"
"028910","","23.7","Site Based"
"022152","022152","60.5","Site Based"
"003509","003509","58.8","Site Based"
"063461","","29.6","Site Based"
"134288","","82.3","Site Based"
"032136","032136","68.8","Site Based"
"018846","","20.2","Site Based"
"008623","008623","60.2","Site Based"
"023978","023978","54.4","Site Based"
"013581","013581","60.4","Site Based"
"019075","","19.9","Site Based"
"023119","","10.5","Site Based"
"000304","000304","100.0","Site Based"
"012560","012560","62.3","Site Based"
"012294","012294","46.6","Site Based"
"012567","","8.4","Site Based"
"012564","","17.0","Site Based"
"012565","","17.5","Site Based"
"097071","097071","52.2","Site Based"
"012931","","","Site Based"
"133629","","83.2","Site Based"
"002964","","24.6","Site Based"
"022087","","19.5","Site Based"
"018671","018671","70.1","Site Based"
"041210","","21.7","Site Based"
"033431","","23.2","Site Based"
"000300","","100.0","Site Based"
"133231","","","Site Based"
"012027","","","Site Based"
"143545","","","Site Based"
"022574","022574","69.4","Site Based"
"008441","008441","59.3","Site Based"
"121954","121954","35.5","Site Based"
"007245","","23.9","Site Based"
"002568","","16.4","Site Based"
"133397","","","Site Based"
"007716","007716","60.7","Site Based"
"003210","003210","54.2","Site Based"
"038554","","12.1","Site Based"
"029249","029249","58.3","Site Based"
"061614","","19.5","Site Based"
"012369","012369","69.7","Site Based"
"036749","","20.4","Site Based"
"019679","019679","17.3","Site Based"
"031237","","30.5","Site Based"
"066472","066472","30.1","Site Based"
"036467","036467","32.7","Site Based"
"041368","","17.5","Site Based"
"042812","042812","23.6","Site Based"
"149088","","94.3","Virtual School"
"025353","025353","42.6","Site Based"
"062372","","17.4","Site Based"
"022798","","19.6","Site Based"
"152132","","16.6","Site Based"
"122127","","69.6","Site Based"
"033399","033399","59.1","Site Based"
"019695","","19.2","Site Based"
"028985","028985","61.3","Site Based"
"024331","024331","63.4","Site Based"
"043216","043216","64.5","Site Based"
"133579","","","Site Based"
"140871","","19.1","Site Based"
"021212","","16.4","Site Based"
"066498","","21.4","Site Based"
"025221","","94.3","Site Based"
"021188","","41.0","Site Based"
"012024","","","Site Based"
"038398","","17.6","Site Based"
"003988","","96.6","Site Based"
"028779","","17.2","Site Based"
"007401","","20.7","Site Based"
"041145","041145","58.7","Site Based"
"006692","006692","65.9","Site Based"
"134171","","","Site Based"
"038158","038158","62.3","Site Based"
"098087","098087","55.2","Site Based"
"013165","","100.0","Site Based"
"143636","","","Site Based"
"020859","020859","51.2","Site Based"
"016535","016535","67.9","Site Based"
"133405","","","Site Based"
"001925","001925","53.1","Site Based"
"021675","021675","54.9","Site Based"
"024802","024802","54.5","Site Based"
"142398","142398","5.6","Site Based"
"008316","","","Site Based"
"019216","","13.1","Site Based"
"000520","","13.1","Site Based"
"000523","","","Site Based"
"001859","001859","54.0","Site Based"
"000525","","100.0","Site Based"
"024489","","21.2","Site Based"
"000527","","83.7","Site Based"
"040782","","36.8","Site Based"
"020107","","17.0","Site Based"
"017665","","15.9","Site Based"
"016444","016444","58.5","Site Based"
"017913","","80.8","Site Based"
"143495","","85.5","Site Based"
"037234","037234","57.5","Site Based"
"022905","022905","52.6","Site Based"
"126193","","20.1","Site Based"
"006049","006049","56.0","Site Based"
"043323","043323","55.6","Site Based"
"133587","133587","88.6","Site Based"
"002584","","21.8","Site Based"
"029066","029066","61.4","Site Based"
"143123","","","Site Based"
"017301","","16.0","Site Based"
"017269","017269","54.8","Site Based"
"143438","","","Site Based"
"006916","006916","","Site Based"
"019851","019851","60.0","Site Based"
"033084","","21.8","Site Based"
"061218","","91.7","Site Based"
"029272","","12.8","Site Based"
"149427","","100.0","Virtual School"
"061432","","20.1","Site Based"
"027912","027912","48.3","Site Based"
"040303","040303","61.6","Site Based"
"081810","081810","50.5","Site Based"
"133447","","","Site Based"
"000298","","100.0","Site Based"
"027045","027045","48.6","Site Based"
"030288","030288","52.3","Site Based"
"040436","040436","65.3","Site Based"
"000291","","33.1","Site Based"
"036699","036699","55.1","Site Based"
"000297","000297","77.0","Site Based"
"000296","000296","100.0","Site Based"
"017004","","15.9","Site Based"
"061705","061705","56.2","Site Based"
"030684","030684","67.6","Site Based"
"004846","","20.7","Site Based"
"001107","001107","65.3","Site Based"
"001453","","19.1","Site Based"
"133975","","","Site Based"
"021527","021527","45.5","Site Based"
"000455","000455","48.1","Site Based"
"017863","","40.1","Site Based"
"000451","","50.5","Site Based"
"000450","","14.5","Site Based"
"043042","","17.4","Site Based"
"025825","025825","23.6","Site Based"
"039842","","18.3","Site Based"
"030353","030353","67.1","Site Based"
"010660","","17.2","Site Based"
"025379","025379","62.1","Site Based"
"002634","002634","58.0","Site Based"
"043034","043034","70.7","Site Based"
"000851","000851","52.1","Site Based"
"148916","148916","100.0","Virtual School"
"039321","039321","51.5","Site Based"
"134106","","","Site Based"
"000855","000855","100.0","Site Based"
"012740","012740","59.0","Site Based"
"000859","000859","29.3","Site Based"
"000858","","100.0","Site Based"
"017467","017467","52.8","Site Based"
"033555","","25.3","Site Based"
"000187","","21.0","Site Based"
"010447","010447","64.8","Site Based"
"000679","000679","31.9","Site Based"
"029470","","14.6","Site Based"
"018804","","31.0","Site Based"
"020321","","92.5","Site Based"
"024661","","44.3","Site Based"
"067959","","17.9","Site Based"
"000677","000677","100.0","Site Based"
"000676","000676","73.6","Site Based"
"068080","","24.3","Site Based"
"010595","010595","48.0","Site Based"
"003764","","44.3","Site Based"
"042499","","39.5","Site Based"
"005009","005009","51.1","Site Based"
"031179","031179","50.0","Site Based"
"033738","","30.4","Site Based"
"035105","","42.9","Site Based"
"027862","","11.7","Site Based"
"133496","","","Site Based"
"151118","","","Site Based"
"041939","","27.9","Site Based"
"030775","030775","79.8","Site Based"
"145409","145409","43.1","Site Based"
"034298","","19.2","Site Based"
"034678","034678","35.8","Site Based"
"011884","","24.0","Site Based"
"026989","026989","61.7","Site Based"
"029983","","26.3","Site Based"
"036343","036343","63.0","Site Based"
"043448","","17.0","Site Based"
"030973","030973","72.9","Site Based"
"008706","008706","57.2","Site Based"
"032854","032854","59.5","Site Based"
"026310","","19.3","Site Based"
"027268","","17.6","Site Based"
"000277","","","Site Based"
"000270","","17.5","Site Based"
"042143","042143","70.1","Site Based"
"068551","","18.5","Site Based"
"031393","","12.6","Site Based"
"009148","","100.0","Site Based"
"009149","009149","66.9","Site Based"
"009498","","28.4","Site Based"
"034074","","97.3","Site Based"
"142406","142406","48.7","Site Based"
"014902","014902","67.2","Site Based"
"031559","","15.4","Site Based"
"026799","026799","56.8","Site Based"
"009145","","17.9","Site Based"
"009147","009147","78.1","Site Based"
"018069","018069","43.0","Site Based"
"031955","031955","54.7","Site Based"
"012625","","9.4","Site Based"
"012624","","100.0","Site Based"
"012627","012627","100.0","Site Based"
"012626","012626","100.0","Site Based"
"012629","012629","100.0","Site Based"
"012628","012628","100.0","Site Based"
"004515","004515","56.6","Site Based"
"010843","010843","46.7","Site Based"
"011530","","","Site Based"
"151936","151936","50.5","Site Based"
"011532","","16.3","Site Based"
"011533","011533","80.2","Site Based"
"011534","","90.2","Site Based"
"011536","011536","65.2","Site Based"
"026229","","10.8","Site Based"
"009720","","13.8","Site Based"
"032920","","19.8","Site Based"
"036293","036293","80.7","Site Based"
"149310","","","Site Based"
"114652","114652","48.4","Site Based"
"027318","027318","60.5","Site Based"
"004192","","16.4","Site Based"
"003640","","17.2","Site Based"
"005736","005736","67.8","Site Based"
"014340","014340","19.7","Site Based"
"032607","","18.2","Site Based"
"004358","004358","48.2","Site Based"
"042317","","100.0","Site Based"
"015164","015164","44.6","Site Based"
"004176","004176","46.9","Site Based"
"000232","000232","79.9","Site Based"
"015347","015347","64.0","Site Based"
"003376","","16.0","Site Based"
"018119","018119","59.1","Site Based"
"003467","","11.9","Site Based"
"012195","012195","49.3","Site Based"
"004994","","23.5","Site Based"
"009928","009928","58.2","Site Based"
"011155","011155","50.8","Site Based"
"007898","","100.0","Site Based"
"015180","","24.7","Site Based"
"125344","125344","40.6","Site Based"
"012757","","91.6","Site Based"
"009927","009927","44.6","Site Based"
"037432","037432","55.0","Site Based"
"008037","008037","53.4","Site Based"
"011978","","","Site Based"
"034439","","36.7","Site Based"
"142943","142943","100.0","Site Based"
"042077","042077","38.8","Site Based"
"118042","118042","53.4","Site Based"
"018051","018051","51.5","Site Based"
"022368","","27.2","Site Based"
"009030","","95.7","Site Based"
"009031","009031","67.8","Site Based"
"009035","009035","71.7","Site Based"
"038075","038075","59.9","Site Based"
"009038","","29.0","Site Based"
"031211","031211","57.7","Site Based"
"035493","","19.1","Site Based"
"028902","028902","45.8","Site Based"
"012286","012286","61.0","Site Based"
"007096","007096","60.8","Site Based"
"135830","","15.9","Site Based"
"022418","","16.3","Site Based"
"064287","064287","22.4","Site Based"
"032144","032144","51.1","Site Based"
"022400","","17.5","Site Based"
"043828","","","Site Based"
"099853","","20.4","Site Based"
"012570","","","Site Based"
"118141","118141","50.5","Site Based"
"019042","019042","63.7","Site Based"
"011710","","100.0","Site Based"
"022095","022095","50.6","Site Based"
"041202","","18.2","Site Based"
"038042","","17.3","Site Based"
"149161","","","Site Based"
"015222","","29.5","Site Based"
"064113","","14.1","Site Based"
"004770","","19.2","Site Based"
"032706","032706","59.0","Site Based"
"022566","","38.9","Site Based"
"031690","","15.8","Site Based"
"146845","","11.2","Site Based"
"139717","","20.5","Site Based"
"118828","118828","25.6","Site Based"
"025783","","20.9","Site Based"
"125351","","20.6","Site Based"
"038836","","18.7","Site Based"
"003202","","28.5","Site Based"
"007278","","17.3","Site Based"
"133363","","","Site Based"
"025031","","20.5","Site Based"
"089680","","","Site Based"
"012377","","18.0","Site Based"
"122747","122747","53.8","Site Based"
"002352","002352","68.8","Site Based"
"040287","","21.1","Site Based"
"008854","008854","50.6","Site Based"
"037655","","17.3","Site Based"
"041376","","13.3","Site Based"
"044255","","","Site Based"
"015792","","21.1","Site Based"
"013482","","19.6","Site Based"
"012566","","18.9","Site Based"
"133769","","","Site Based"
"024927","024927","42.0","Site Based"
"121434","121434","67.8","Site Based"
"019448","","25.0","Site Based"
"022970","022970","58.3","Site Based"
"014316","","27.8","Site Based"
"006874","006874","50.7","Site Based"
"007658","","13.4","Site Based"
"006700","","91.8","Site Based"
"022780","","13.8","Site Based"
"016618","016618","59.2","Site Based"
"024323","024323","44.3","Site Based"
"029181","029181","64.7","Site Based"
"044453","","","Site Based"
"041558","","23.1","Site Based"
"034629","034629","37.6","Site Based"
"020883","","20.3","Site Based"
"002139","","15.5","Site Based"
"133504","133504","75.8","Site Based"
"020263","","22.5","Site Based"
"125229","","13.1","Site Based"
"003996","","30.1","Site Based"
"048843","","","Site Based"
"019224","","19.5","Site Based"
"036913","036913","58.6","Site Based"
"040733","","22.1","Site Based"
"020826","020826","46.2","Site Based"
"024810","","0.0","Site Based"
"016295","016295","67.5","Site Based"
"149179","","","Site Based"
"132969","132969","70.4","Site Based"
"038125","","16.2","Site Based"
"066803","","15.1","Site Based"
"001933","","17.4","Site Based"
"026773","026773","62.3","Site Based"
"044354","","","Site Based"
"016055","","24.2","Site Based"
"021337","021337","54.7","Site Based"
"133215","133215","100.0","Site Based"
"000519","","20.5","Site Based"
"019174","019174","75.7","Site Based"
"001842","","28.4","Site Based"
"000510","000510","66.5","Site Based"
"000511","000511","78.6","Site Based"
"017905","","15.1","Site Based"
"000513","","37.0","Site Based"
"021683","","13.4","Site Based"
"006056","006056","52.5","Site Based"
"029694","","29.7","Site Based"
"008110","","7.5","Site Based"
"043331","043331","54.5","Site Based"
"028589","028589","48.8","Site Based"
"123034","123034","34.8","Site Based"
"040337","040337","16.8","Site Based"
"038232","","15.7","Site Based"
"016410","016410","57.7","Site Based"
"024752","","17.9","Site Based"
"033977","033977","55.8","Site Based"
"135327","","13.7","Site Based"
"066738","","24.7","Site Based"
"019539","","20.7","Site Based"
"006908","","23.6","Site Based"
"081802","081802","58.9","Site Based"
"027359","","92.6","Site Based"
"027078","027078","83.1","Site Based"
"018622","018622","46.8","Site Based"
"042796","","23.1","Site Based"
"017012","","20.7","Site Based"
"020008","","14.6","Site Based"
"061895","","13.7","Site Based"
"001446","","12.9","Site Based"
"042465","042465","50.7","Site Based"
"038034","038034","55.5","Site Based"
"000461","","","Site Based"
"000463","","27.8","Site Based"
"024075","","12.7","Site Based"
"111187","111187","32.6","Site Based"
"000120","","","Site Based"
"010611","010611","62.2","Site Based"
"064725","","21.2","Site Based"
"025817","","37.1","Site Based"
"002642","002642","48.2","Site Based"
"065383","","16.9","Site Based"
"039057","039057","52.2","Site Based"
"043026","043026","63.0","Site Based"
"037390","","22.9","Site Based"
"033548","","16.5","Site Based"
"001594","001594","57.5","Site Based"
"143578","143578","62.1","Site Based"
"031716","","18.1","Site Based"
"000862","","","Site Based"
"020487","","44.4","Site Based"
"143206","143206","71.0","Site Based"
"048280","","","Site Based"
"010439","","13.8","Site Based"
"000640","","100.0","Site Based"
"000578","","","Site Based"
"037861","","22.8","Site Based"
"026419","","29.7","Site Based"
"034132","034132","50.2","Site Based"
"047001","","","Site Based"
"000884","000884","54.7","Site Based"
"000885","000885","40.7","Site Based"
"017491","","18.6","Site Based"
"000883","","15.7","Site Based"
"024166","024166","63.6","Site Based"
"024679","024679","65.9","Site Based"
"018879","018879","55.1","Site Based"
"009555","","30.0","Site Based"
"024471","","23.6","Site Based"
"067876","","23.1","Site Based"
"007526","007526","52.2","Site Based"
"001206","001206","56.2","Site Based"
"043158","","21.0","Site Based"
"034280","","20.3","Site Based"
"010058","","18.6","Site Based"
"145417","145417","38.4","Site Based"
"136911","","89.1","Site Based"
"027896","","20.1","Site Based"
"014001","014001","53.4","Site Based"
"025122","","17.7","Site Based"
"014005","","","Site Based"
"028480","028480","22.9","Site Based"
"011239","","33.7","Site Based"
"064071","064071","47.9","Site Based"
"035048","","29.0","Site Based"
"125567","","16.5","Site Based"
"029991","","23.0","Site Based"
"040956","","83.7","Site Based"
"018580","018580","75.5","Site Based"
"036350","036350","67.2","Site Based"
"143446","","","Site Based"
"034108","","24.7","Site Based"
"027250","027250","67.2","Site Based"
"028027","","17.7","Site Based"
"111526","","22.2","Site Based"
"008730","008730","64.1","Site Based"
"000083","","21.7","Site Based"
"026302","","17.9","Site Based"
"000241","000241","90.7","Virtual School"
"000242","000242","57.0","Site Based"
"009154","009154","71.4","Site Based"
"114561","","21.0","Site Based"
"009150","","","Site Based"
"009214","009214","61.4","Site Based"
"043398","","34.4","Site Based"
"068544","068544","68.4","Site Based"
"009159","009159","77.9","Site Based"
"026781","","24.2","Site Based"
"009488","009488","55.0","Site Based"
"014175","014175","59.7","Site Based"
"029868","029868","66.8","Site Based"
"014910","014910","68.2","Site Based"
"018697","","27.8","Site Based"
"018473","","20.3","Site Based"
"009487","009487","60.6","Site Based"
"005363","","15.1","Site Based"
"034710","034710","61.8","Site Based"
