"School IRN","School Name","Street Address","City","State","Postal Code","Virtual","Avg Grade","Public Funding","% Spent in Classroom","Avg Teacher Experience"
"143610","Arts & College Preparatory Academy","4401 Hilton Corporate Dr","Columbus","OH","43232-4161","Site Based","A","1640887.22","85.46","5"
"132951","Constellation Schools: Lorain Community Elementary","5983 W 54th St","Parma","OH","44129-3854","Site Based","A","1500912.68","87.54","1"
"000546","Winterfield Venture Academy","305 Wenz Rd","Toledo","OH","43615-6244","Site Based","F","3779902.34","91.98","5"
"000543","Pinnacle Academy","860 E 222nd St","Euclid","OH","44123-3317","Site Based","F","4504455.06","92.15","5"
"000541","Constellation Schools: Outreach Academy for Students with Di","3727 Bosworth Rd","Cleveland","OH","44111-6037","Site Based","F","1156773.10","89.43","0"
"000949","Villaview Community School","1701 E 12th St","Cleveland","OH","44114-3236","Site Based","F","803261.57","83.18","5"
"000941","Par Excellence Academy","96 Maholm St","Newark","OH","43055-3906","Site Based","D","897609.29","83.31","0"
"000946","Cleveland Community School","1701 E 12th St","Cleveland","OH","44114-3236","Site Based","F","992112.59","94.68","3"
"000725","Zenith Academy","8210 Havens Rd","Blacklick","OH","43004-8630","Site Based","F","2558801.66","95.97","0"
"133959","Dayton Leadership Academies-Dayton Liberty Campus","4401 Dayton Liberty Rd","Dayton","OH","45417-5903","Site Based","F","2391751.91","91.36","3"
"000838","Horizon Science Academy-Denison Middle School","1700 Denison Ave","Cleveland","OH","44109-2925","Site Based","F","2223542.70","90.78","3"
"000616","Summit Academy Alternative LearnersWarren Middle & Secondary","1461 Moncrest Dr NW","Warren","OH","44485-1928","Site Based","F","1680031.67","96.76","3"
"000614","Summit Academy Transition High School-Columbus","1855 E Dublin-Granville Rd","Columbus","OH","43229-3516","Site Based","F","1155184.40","96.79","2"
"000613","Heir Force Community School","PO Box 180","Lima","OH","45802-0180","Site Based","F","2007501.31","89.04","2"
"000610","Summit Academy Middle School - Columbus","2521 Fairwood Ave Ste 200","Columbus","OH","43207-2712","Site Based","F","790756.82","97.28","4"
"132779","Summit Academy Akron Middle School","2791 Mogadore Rd","Akron","OH","44312-1504","Site Based","F","968299.48","97.10","3"
"010007","Horizon Science Academy Denison Elementary School","2261 Columbus Rd","Cleveland","OH","44113-4230","Site Based","F","1558391.22","85.31","3"
"010006","Knight Academy","110 Arco Dr","Toledo","OH","43607-2960","Site Based","F","1164962.06","78.79","0"
"010005","Horizon Science Academy Cleveland Elementary School","6000 S Marginal Rd","Cleveland","OH","44103-1042","Site Based","F","1108705.00","86.55","3"
"009164","Central Academy of Ohio","2727 Kenwood Blvd","Toledo","OH","43606-3216","Site Based","F","1083986.85","93.72","5"
"009165","Gahanna Community School","140 S Hamilton Rd","Gahanna","OH","43230-2919","Site Based","F","652867.13","83.03","105"
"009163","C.M. Grant Leadership Academy","2030 Leonard Ave","Columbus","OH","43219-2105","Site Based","F","947377.14","83.65","2"
"012644","STEAM Academy of Warren","261 Elm Rd NE","Warren","OH","44483-5003","Site Based","F","1036320.22","87.49","2"
"011511","Lakeland Academy Community School","101 E Main St","Freeport","OH","43973-9355","Site Based","NR","210402.08","77.35","4"
"012513","Cincinnati College Preparatory Academy East","4324 Homer Ave","Cincinnati","OH","45227-2943","Site Based","F","2369188.33","85.06","0"
"133538","Edge Academy, The","92 N Union St","Akron","OH","44304-1347","Site Based","F","1937587.77","93.25","8"
"134197","Hope Academy Chapelside Campus","4265 Northfield Rd","Highland Hills","OH","44128-2811","Site Based","F","3422452.50","96.84","5"
"133561","Millennium Community School","3500 Refugee Rd","Columbus","OH","43232-4862","Site Based","F","4520087.70","82.30","0"
"013173","Imagine Hill Avenue","6145 Hill Ave","Toledo","OH","43615-5600","Site Based","F","958735.09","97.66","4"
"013170","Hope Academy for Autism","1628 Niles Rd SE","Warren","OH","44484-5111","Site Based","NR","416552.83","87.17","0"
"013174","Young Scholars Prep School","1533 Cleveland Ave","Columbus","OH","43211-2743","Site Based","NR","219052.69","83.82","0"
"013175","Kids Unlimited Academy","2105 N McCord Rd","Toledo","OH","43615-3032","Site Based","NR","487697.20","91.42","0"
"133413","Electronic Classroom Of Tomorrow","3700 S High St Ste 95","Columbus","OH","43207-4083","Site Based","F","88370050.21","89.41","8"
