"District IRN","District Name","County","Region","Teachers Attendance Rate 2013-14","Average Years of Teacher Experience","Average Number of Full Time Teachers","Average Teacher Salary","Average Number of Full Time Teachers Who Have At Least a Bachelors","% of Teachers Who Have At Least a Bachelors","Average Number of Full Time Teachers Who Have At Least a Masters","% of Teachers Who Have At Least a Masters","% of Core Courses Taught by a Properly Certified Teacher","# of Core Courses Taught by a Properly Certified Teacher","Total # of Core Courses","% of Core Courses Taught by a Highly Qualified Teacher","# of Core Courses Taught by a Highly Qualified Teacher","% of Core Courses Taught by Teacher with a Temporary Certificate","# of Core Courses Taught by Teacher with a Temporary Certificate"
"045518","Milton-Union Exempted Village","Miami","Region 10","95.8","19","87","54035","87","100.0","60","68.4","100","386.0","386.0","98.7","381.0","0","0.0"
"045526","Montpelier Exempted Village","Williams","Region 1","94.6","11","65","40906","65","100.0","36","55.4","92.8","361.0","389.0","98.2","382.0","0","0.0"
"045534","Mount Gilead Exempted Village","Morrow","Region 7","95.8","14","81","48931","81","100.0","48","59.3","100","352.0","352.0","100.0","352.0","0","0.0"
"045542","Newcomerstown Exempted Village","Tuscarawas","Region 12","94.6","11","78","39792","78","100.0","25","32.1","98.9","350.0","354.0","100.0","354.0","0","0.0"
"045559","New Richmond Exempted Village","Clermont","Region 13","96.5","16","147","62099","147","100.0","114","77.5","99.3","822.0","828.0","100.0","828.0","0","0.0"
"045567","Newton Falls Exempted Village","Trumbull","Region 5","94.6","21","79","47437","79","100.0","51","64.8","98.7","310.0","314.0","100.0","314.0","0","0.0"
"045575","Paulding Exempted Village","Paulding","Region 1","95.6","15","108","49563","108","100.0","77","71.3","99.7","597.0","599.0","100.0","599.0","0","0.0"
"045583","Perrysburg Exempted Village","Wood","Region 1","95.8","12","259","60178","259","100.0","171","66.0","100","1207.0","1207.0","100.0","1207.0","0","0.0"
"045591","Rittman Exempted Village","Wayne","Region 9","94.8","15","73","45372","73","100.0","48","65.2","100","347.0","347.0","100.0","347.0","0","0.0"
"045609","Rossford Exempted Village","Wood","Region 1","94.9","10","115","69480","115","100.0","78","68.1","100","689.0","689.0","99.7","687.0","0","0.0"
"045617","Tipp City Exempted Village","Miami","Region 10","96.3","16","148","54144","148","100.0","105","70.5","100","899.0","899.0","100.0","899.0","0","0.0"
"045625","Upper Sandusky Exempted Village","Wyandot","Region 7","95.4","21","96","55208","96","100.0","60","63.1","99.3","814.0","820.0","100.0","820.0","0","0.0"
"045633","Versailles Exempted Village","Darke","Region 10","92.8","10","73","57843","73","100.0","53","72.5","97.8","398.0","407.0","100.0","407.0","0","0.0"
"045641","Wauseon Exempted Village","Fulton","Region 1","94.2","19","122","53417","122","100.0","88","72.6","100","592.0","592.0","100.0","592.0","0","0.0"
"045658","Wellington Exempted Village","Lorain","Region 2","96","12","87","51149","87","100.0","46","52.6","99.8","503.0","504.0","100.0","504.0","0","0.0"
"045666","Windham Exempted Village","Portage","Region 8","95.6","15","50","51791","50","100.0","29","58.4","100","220.0","220.0","100.0","220.0","0","0.0"
"045674","Yellow Springs Exempted Village","Greene","Region 10","94.7","15","46","59281","45","97.8","37","80.3","100","243.0","243.0","100.0","243.0","0","0.0"
"045757","Allen East Local","Allen","Region 6","95.9","13","62","46777","62","100.0","45","72.3","99.7","313.0","314.0","100.0","314.0","0","0.0"
"045765","Bath Local","Allen","Region 6","95.9","15","99","55784","97","98.0","75","75.0","97.3","431.0","443.0","100.0","443.0","0","0.0"
"045773","Elida Local","Allen","Region 6","95","15","129","53778","129","100.0","79","61.1","99.6","509.0","511.0","100.0","511.0","0","0.0"
"045781","Perry Local","Allen","Region 6","94.5","14","50","49982","49","98.0","27","53.5","95.6","218.0","228.0","100.0","228.0","0","0.0"
"045799","Shawnee Local","Allen","Region 6","95.5","13","140","50679","139","99.3","93","66.8","100","713.0","713.0","100.0","713.0","0","0.0"
"045807","Spencerville Local","Allen","Region 6","96.2","12","58","50890","57","98.3","36","61.3","98.6","284.0","288.0","100.0","288.0","0","0.0"
"045823","Hillsdale Local","Ashland","Region 7","95.5","15","49","52987","49","100.0","37","74.4","100","266.0","266.0","100.0","266.0","0","0.0"
"045831","Mapleton Local","Ashland","Region 7","96.4","14","60","43240","60","100.0","32","54.3","99","307.0","310.0","100.0","310.0","0","0.0"
"045856","Buckeye Local","Ashtabula","Region 5","95.2","12","107","57285","107","100.0","64","59.9","98.3","521.0","530.0","100.0","530.0","0","0.0"
"045864","Grand Valley Local","Ashtabula","Region 5","94.2","15","73","51636","73","100.0","53","72.0","100","358.0","358.0","100.0","358.0","0","0.0"
"045872","Jefferson Area Local","Ashtabula","Region 5","94.9","14","87","50286","87","100.0","53","61.3","100","467.0","467.0","100.0","467.0","0","0.0"
"045880","Pymatuning Valley Local","Ashtabula","Region 5","91.7","14","78","50285","78","100.0","39","50.7","99.4","357.0","359.0","100.0","359.0","0","0.0"
"045906","Alexander Local","Athens","Region 16","92.7","14","109","52288","109","100.0","77","70.8","100","522.0","522.0","100.0","522.0","0","0.0"
"045914","Federal Hocking Local","Athens","Region 16","94.8","14","84","47636","72","85.8","44","52.6","99.7","304.0","305.0","100.0","305.0","0","0.0"
"045922","Trimble Local","Athens","Region 16","93.1","17","61","51845","61","100.0","45","73.1","95.8","321.0","335.0","96.4","323.0","0","0.0"
"045948","Minster Local","Auglaize","Region 6","96.4","19","56","55918","56","100.0","50","90.4","100","256.0","256.0","100.0","256.0","0","0.0"
