"Building IRN","Building Name","District IRN","District Name","County","Region","Open/Closed Status (as of 9/1/2014)","Feeder IRN","School Type","Mobility Status","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"014688","Grove Patterson Academy Elementary School","044909","Toledo City","Lucas","Region 1","Open","035865","Elementary School","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--",">95.0","60.0","50.0","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","184","45.3"
"014688","Grove Patterson Academy Elementary School","044909","Toledo City","Lucas","Region 1","Open","035865","Elementary School","Longevity3orMore",">95.0","82.9",">95.0","93.8",">95.0","74.3","82.9","91.2","73.5",">95.0",">95.0","93.5","90.3","71.0","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","222","54.7"
"014696","Groveport Elementary School","046979","Groveport Madison Local","Franklin","Region 11","Open","014712","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","16","3.9"
"014696","Groveport Elementary School","046979","Groveport Madison Local","Franklin","Region 11","Open","014712","Elementary School","Longevity1to2","85.0","90.0","90.9","81.8","46.4","35.7","53.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","95.0","--","--","248","59.9"
"014696","Groveport Elementary School","046979","Groveport Madison Local","Franklin","Region 11","Open","014712","Elementary School","Longevity3orMore","86.3","84.3","90.5","85.7","58.1","60.5","53.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","150","36.2"
"014704","Groveport Madison High School","046979","Groveport Madison Local","Franklin","Region 11","Open","******","High School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","58.8","--","51","3.6"
"014704","Groveport Madison High School","046979","Groveport Madison Local","Franklin","Region 11","Open","******","High School","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","78.2","69.4","75.8","69.4","55.6","94.3","88.6",">95.0","88.6","78.4","93.8","73.6","67.6","424","30.2"
"014704","Groveport Madison High School","046979","Groveport Madison Local","Franklin","Region 11","Open","******","High School","Longevity3orMore","--","--","--","--","--","--","--","--","--","--","--","--","--","--","90.3","81.0","80.6","81.4","71.7",">95.0","94.1",">95.0","92.7","91.4","94.6","91.5","90.7","926","66.0"
"014712","Groveport Madison Middle School Central","046979","Groveport Madison Local","Franklin","Region 11","Open","014704","Middle School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","23","5.1"
"014712","Groveport Madison Middle School Central","046979","Groveport Madison Local","Franklin","Region 11","Open","014704","Middle School","Longevity1to2","--","--","--","--","--","--","--","66.7","65.1","80.6","51.5","76.8","65.5","39.3","--","--","--","--","--","--","--","--","--","--","93.8","--","--","192","42.7"
