"District IRN","Name","Address","City","State","Postal Code","Avg Teacher Exp","% of teachers with masters degrees","Teacher attendance %","# of students","# of FT teachers","Student-teacher ratio","% of kids in poverty","% of kids with special needs","% gifted","% white","% non-white","% enrolled less than 3 years","Letter grade standards met","Letter grade performance index","Performance index score","Letter grade overall value-add","Letter grade gifted value-add","Letter grade disabled value-add","Letter grade lowest 20% value-add","Letter grade of AMO","Attendance rate","Graduation rate","State Funding per Student","Charter cost per student","Charter cost per classroom","% Spent in Classroom","% Spent on Administration","Community School Transfer","Funding per Student","Third Grade Reading Student Count","Third Grade Reading Student Count At or Above 392","Third Grade Reading Percentage","Read 3rd Grade % at or above Proficient","TOTAL CALCULATED STATE FUNDING","TOTAL ADDITIONAL AID ITEMS","TOTAL ADM","Letter grade of four year graduation rate"
"047639","Lynchburg-Clay Local","PO Box 515","Lynchburg","OH","45142-0515","12","75.5","96.5","1172.0","94","12.5","44.7","17.7","13.7",">95.0","<5.0","34.9","A","B","102.289","A","D","A","B","A","95.0","83.7","6609.25","-12.43","-310.85","93.5","6.5","-123856.05","6673.126118516984","91.0","91","100.0","100.0","8280000","94840","1255","D"
"045252","Caldwell Exempted Village","516 Fairground St","Caldwell","OH","43724-1175","15","71.2","94.2","789.0","56","14.1","38.7","10.0","8.1",">95.0","<5.0","33.8","D","C","93.605","F","C","C","D","F","94.8","92.6","4523.27","36.89","922.20","92.9","7.1","-159393.24","4687.882591876209","57.0","57","100.0","100.0","4246427","116116","931","B"
"046219","West Liberty-Salem Local","7208 US Highway 68 N","West Liberty","OH","43357-9663","14","60.6","95.4","1231.0","84","14.7","20.6","13.6","16.2","93.0","7.0","34.6","A","B","105.559","C","F","C","C","B","95.8","97.9","5226.03","11.82","295.62","93.3","6.7","-98815.35","5340.201244813278","71.0","71","100.0","100.0","5992001","108324","1142","A"
"047209","Ledgemont Local","16200 Burrows Rd","Thompson","OH","44086-9737","15","41.1","96.6","394.0","37","10.6","32.0","13.2","16.2",">95.0","<5.0","38.9","D","C","93.662","F","NA","NA","C","F","95.4","91.1","3389.68","170.37","4259.24","90.7","9.3","-192308.40","3657.5152519053568","21.0","21","100.0","100.0","1969221","51154","552","B"
"044123","Hillsboro City","39 Willetsville Pike","Hillsboro","OH","45133-8277","13","61.7","95.2","2548.0","165","15.4","63.0","13.6","10.5","90.0","10.0","40.0","D","B","96.456","A","C","B","B","D","94.6","86.7","4869.97","83.38","2084.52","95.2","4.8","-707932.84","5041.883578514708","157.0","152","96.8","96.8","13118873","227094","2647","C"
"049536","Union-Scioto Local","1565 Egypt Pike","Chillicothe","OH","45601-3974","7","34.5","95.7","2089.0","133","15.7","38.3","11.8","6.3","88.4","11.6","40.0","C","B","97.513","F","D","D","F","D","94.4","93.6","5123.17","51.82","1295.46","92.8","7.2","-342164.41","5266.0976208459215","145.0","143","98.6","98.6","9597175","164064","1854","A"
"046359","West Clermont Local","4350 Aicholtz Rd","Cincinnati","OH","45245-1505","14","80.0","96.1","7911.0","412","19.2","39.7","14.1","13.7","92.2","7.8","34.0","B","B","98.515","F","D","D","A","F","95.0","92.4","2585.16","147.27","3681.64","94.4","5.6","-2091859.36","2852.0143196592485","598.0","588","98.3","98.3","23517558","1015925","8602","B"
"045484","Mechanicsburg Exempted Village","60 High St","Mechanicsburg","OH","43044-1071","19","65.9","93.4","874.0","55","15.9","33.8","14.9","12.6",">95.0","<5.0","35.4","B","B","102.988","A","C","A","A","A","95.1","96.4","5093.97","50.28","1256.90","92.3","7.7","-143705.51","5318.842486377976","57.0","57","100.0","100.0","4319739","131493","837","A"
"049106","Westfall Local","19463 Pherson Pike","Williamsport","OH","43164-9745","7","54.8","96","1453.0","115","12.6","52.2","13.1","9.3",">95.0","<5.0","34.8","D","B","96.203","C","D","F","C","F","96.1","90.5","4851.70","51.23","1280.81","92.5","7.5","-248460.24","4946.692332172919","80.0","79","98.8","98.8","7550464","65860","1540","B"
"049361","Miller City-New Cleveland Local","PO Box 38","Miller City","OH","45864-0038","16","57.9","94.9","456.0","33","13.8","8.1","10.7","24.3",">95.0","<5.0","28.6","A","A","109.223","D","C","C","NA","A","97.9","100.0","5272.42","1.60","39.96","93.8","6.2","-10168.65","5377.88842894234","31.0","31","100.0","100.0","2153353","42223","408","A"
"047027","Dublin City","7030 Coffman Rd","Dublin","OH","43017-1068","12","69.0","94.1","13732.0","923","14.9","14.9","9.8","33.4","66.6","33.4","35.2","A","A","108.266","A","A","A","A","C","96.1","95.9","991.67","75.91","1897.75","94.8","5.2","-1263878.49","1149.5579353431833","1003.0","997","99.4","99.4","15290934","1072138","14234","A"
"046821","Vermilion Local","1230 Beechview Dr","Vermilion","OH","44089-1604","13","61.1","95.1","1999.0","116","17.2","38.2","16.0","18.6","93.0","7.0","33.0","C","B","99.616","D","F","A","A","B","94.6","92.5","2107.41","97.74","2443.55","94.1","5.9","-277613.60","2295.5230948564767","126.0","126","100.0","100.0","4542516","183737","2059","B"
"045807","Spencerville Local","600 School St","Spencerville","OH","45887-1293","12","61.3","96.2","992.0","58","17.1","44.0","14.3","10.2","94.7","5.3","37.0","B","B","100.487","A","A","C","C","B","96.3","94.9","5057.81","15.22","380.57","93.6","6.4","-106499.14","5180.57648906841","68.0","66","97.1","97.1","4749363","98724","936","A"
"049445","Lucas Local","84 Lucas North Rd","Lucas","OH","44843-9532","16","85.8","95.5","600.0","39","15.4","34.2","10.8","26.5",">95.0","<5.0","33.9","C","B","99.474","D","B","A","B","B","96.0","96.8","3453.80","53.78","1344.55","92.2","7.8","-66465.07","3551.098228944703","51.0","51","100.0","100.0","2009020","24125","573","A"
"049692","Bettsville Local","PO Box 6","Bettsville","OH","44815-0006","7","29.6","97.9","150.0","22","6.8","58.0","26.7","NA","87.3","12.7","53.1","F","C","86.19","C","NA","NA","NA","F","95.6","92.9","NA","202.57","5064.22","89.7","10.3","-74203.57","6545.936618917691","NA","104","NA","NA","1125555","26006","176","B"
"049155","Western Local","PO Box 130","Latham","OH","45646-0130","13","67.4","93.9","772.0","41","18.8",">95.0","18.5","13.1",">95.0","<5.0","40.3","F","D","82.747","A","D","A","A","F","93.2","77.8","7562.90","-34.60","-864.95","92.9","7.1","-133433.87","7601.500831747626","46.0","37","80.4","80.4","6292128","59610","836","F"
