"School IRN","School Name","Address","City","State","Postal Code","County","District IRN","District Name","Grades Served","# of students","Letter grade standards met","Letter grade performance index","Performance index score","Letter grade overall value-add","Letter grade gifted value-add","Letter grade disabled value-add","Letter grade lowest 20% value-add","Letter grade of AMO","Attendance rate","Graduation rate","Read 3rd Grade % at or above Proficient","Letter grade of four year graduation rate","% of kids in poverty","% of kids with special needs","% gifted","% white","% non-white"
"008298","LIMA SENIOR HIGH SCHOOL","1 Spartan Way","Lima","OH","45801-4561","Allen","044222","Lima City","9-12","921","F","D","76.975","NA","NA","NA","NA","F","92.9","NA","NA","F",">95.0","23.8","8.5","37.0","63.0"
"139485","Stingel Elementary School","426 Shelby Ontario Rd","Ontario","OH","44906-1030","Richland","049478","Ontario Local","K-5,P","848","D","B","96.154","C","C","C","C","F","96.1","NA","89.8","NA","44.2","10.3","5.0","85.5","14.5"
"032540","Roosevelt Middle School","721 E Home Rd","Springfield","OH","45503-2714","Clark","044818","Springfield City","7-8","427","F","C","89.689","A","B","A","A","F","93.6","NA","NA","NA",">95.0","18.3","8.7","73.1","26.9"
"015826","Hebron Elementary School","PO Box 70","Hebron","OH","43025-0070","Licking","047993","Lakewood Local","K-2","414","NA","NA","NA","NA","NA","NA","NA","NA","94.5","NA","NA","NA","58.0","20.3","9.4","92.3","7.7"
"022947","Marlington High School","10450 Moulin Ave NE","Alliance","OH","44601-5907","Stark","049882","Marlington Local","9-12","697","A","B","102.964","NA","NA","NA","NA","A","94.9","NA","NA","A","33.6","13.3","13.2","94.0","6.0"
"121525","Buckeye Woods Elementary School","2525 Holton Rd","Grove City","OH","43123-8985","Franklin","044800","South-Western City","K-4","708","A","B","107.233","A","C","A","B","B","96.5","NA","93.4","NA","17.2","8.8","18.4","90.8","9.2"
"012555","Crestview Middle School","531 E Tully St","Convoy","OH","45832-8864","Van Wert","050351","Crestview Local","7-8","136","A","B","103.293","A","C","C","C","A","96.4","NA","NA","NA","37.5","14.7","22.1","94.9","5.1"
"007070","Columbus Intermediate School","23600 Columbus Rd","Bedford","OH","44146-2954","Cuyahoga","043562","Bedford City","4-6","364","F","C","87.429","A","A","F","C","F","95.7","NA","NA","NA","76.6","14.3","NA","6.9","93.1"
"005298","Centerburg High School","3782 Columbus Rd","Centerburg","OH","43011-9475","Knox","047829","Centerburg Local","9-12","355","A","B","106.276","NA","NA","NA","NA","A","94.7","NA","NA","A","14.4","11.8","31.0",">95.0","<5.0"
"021329","Longfellow Elementary School","619 Sandusky St","Fostoria","OH","44830-2717","Seneca","043992","Fostoria City","K,P","194","NA","NA","NA","NA","NA","NA","NA","NA","93.9","NA","NA","NA","78.4","26.3","NA","56.7","43.3"
