"District IRN","District Name","Street Address","City","State","Postal Code","Avg Grade","Letter grade performance index","Charter Transfer","% Spent in Classroom","Avg Teacher Experience","Community School Transfer"
"043851","Deer Park Community City","4131 Matson Ave","Cincinnati","OH","45236-2509","C","B","374867.55","91.8","14","-379617.20"
"044347","Martins Ferry City","5001 Ayers Limestone Rd","Martins Ferry","OH","43935-1588","B","B","96447.95","93.9","16","-183242.31"
"049098","Teays Valley Local","385 Viking Way","Ashville","OH","43103-9638","B-","B","597671.92","92.8","15","-760683.35"
"044867","Sycamore Community City","5959 Hagewa Dr","Blue Ash","OH","45242-6240","B+","A","256565.83","94.5","16","-239681.51"
"049544","Zane Trace Local","946 State Route 180","Chillicothe","OH","45601-8141","C","C","191611.06","93.9","14","-205178.67"
"045617","Tipp City Exempted Village","90 S Tippecanoe Dr","Tipp City","OH","45371-1139","A-","B","233067.14","93.8","16","-306918.05"
"045567","Newton Falls Exempted Village","909 1/2 Milton Blvd","Newton Falls","OH","44444-9707","C-","B","320070.00","92.8","21","-423136.94"
"044909","Toledo City","420 E Manhattan Blvd","Toledo","OH","43608-1200","C+","D","71042443.50","93.5","14","-73472739.12"
"044339","Marion City","420 Presidential Dr","Marion","OH","43302-5173","D-","C","2735510.75","93.8","13","-3302622.85"
"050336","North Union Local","12920 State Route 739","Richwood","OH","43344-9728","B+","B","335786.32","94.9","10","-283326.66"
"047241","Beavercreek City","3040 Kemp Rd","Beavercreek","OH","45431-2644","A-","B","1388026.57","94.3","15","-1289184.86"
"049064","Southern Local","10397 State Route 155 SE # 1","Corning","OH","43730-9710","C+","B","79786.84","92.3","14","-88953.30"
"049148","Waverly City","1 Tiger Dr","Waverly","OH","45690-8704","C","C","221711.37","94.5","14","-241431.61"
"045112","Wilmington City","341 S Nelson Ave","Wilmington","OH","45177-2034","C","B","885979.88","93.7","14","-1069069.87"
"046649","Franklin Monroe Local","PO Box 78","Pitsburg","OH","45358-0078","C+","B","59863.36","92.1","16","-37391.79"
"046318","Bethel-Tate Local","675 West Plane Street","Bethel","OH","45106","B+","B","358608.90","93.6","17","-323514.86"
"045401","Greenfield Exempted Village","200 N 5th St","Greenfield","OH","45123-1373","D+","C","373881.13","91.6","13","-413875.49"
"045443","Leetonia Exempted Village","450 Walnut St","Leetonia","OH","44431-1075","B","B","127749.63","93.9","20","-101850.52"
"047738","South Central Local","3305 Greenwich Angling Rd","Greenwich","OH","44837-9443","B-","B","120269.49","94.1","18","-110706.95"
"045781","Perry Local","4065 W. Lincoln Hwy","Gomer","OH","45809","C","C","184598.99","93.7","14","-147932.39"
"046482","River View Local","26496 State Route 60","Warsaw","OH","43844-9714","D+","B","353104.02","92.7","13","-447408.93"
"043521","Athens City","25 S Plains Rd","The Plains","OH","45780-1333","C-","B","461856.26","94.7","16","-552342.96"
"046094","Edgewood City","3440 Busenbark Rd","Trenton","OH","45067-7612","C","B","651372.57","95.6","12","-733263.03"
"046722","Northeastern Local","5921 Domersville Rd","Defiance","OH","43512-9121","B-","B","99155.77","93.4","18","-47798.40"
"047340","Forest Hills Local","7550 Forest Rd","Cincinnati","OH","45255-4307","B","B","357406.48","94.3","15","-396415.26"
"047068","Fayette Local","400 E Gamble Rd","Fayette","OH","43521-9462","B-","B","85011.51","93.5","18","-54032.40"
"046946","Canal Winchester Local","100 Washington St","Canal Winchester","OH","43110-1224","A-","B","983418.72","93.3","13","-1082589.85"
"049718","New Riegel Local","44 N Perry St","New Riegel","OH","44853-9776","C-","B","32087.59","91.8","14","-30357.88"
"046862","Bloom-Carroll Local","5240 Plum Rd","Carroll","OH","43112-9716","B","B","303673.84","92.2","16","-322920.69"
"044644","Piqua City","719 E Ash St","Piqua","OH","45356-2411","D+","C","640083.25","92.8","12","-739507.96"
"043679","Bryan City","1350 Fountain Grove Dr","Bryan","OH","43506-8733","B","B","226777.52","94.1","15","-297609.73"
"044768","Sheffield-Sheffield Lake City","1824 Harris Rd","Sheffield Village","OH","44054-2628","B+","B","563925.10","92.4","9","-639726.03"
"046896","Pickerington Local","90 East St.","Pickerington","OH","43147-1061","B-","B","2138392.38","93.3","13","-2196624.72"
"047746","Western Reserve Local","3765 US Rt 20","Collins","OH","44826","C","B","222206.08","92.8","15","-216354.74"
"045203","Barnesville Exempted Village","210 W Church St","Barnesville","OH","43713-1069","D","B","99759.26","94.4","16","-97404.52"
"045369","Fairport Harbor Exempted Village","329 Vine St","Fairport Harbor","OH","44077-5741","B-","B","136755.48","92.6","12","-119795.90"
"048306","Boardman Local","7410 Market St","Youngstown","OH","44512-5612","B","B","944153.34","94.5","15","-864154.60"
"050021","Hudson City","2400 Hudson Aurora Rd","Hudson","OH","44236-2322","A-","A","225791.74","93.5","18","-167901.16"
"047985","Johnstown-Monroe Local","441 S Main St","Johnstown","OH","43031-1297","B","B","464078.26","93.1","10","-544734.78"
"050591","Triway Local","3205 Shreve Rd","Wooster","OH","44691-4439","B-","B","249617.15","94.5","15","-258054.36"
"046268","Northwestern Local","5610 Troy Rd","Springfield","OH","45502-9032","B+","B","384881.24","94.2","17","-317913.10"
"049668","Wheelersburg Local","PO Box 340","Wheelersburg","OH","45694-0340","C","B","357152.65","94.0","15","-437720.99"
"045161","Youngstown City","PO Box 550","Youngstown","OH","44501-0550","D-","D","22315777.53","93.7","14","-22250651.96"
"045385","Gibsonburg Exempted Village","301 S Sunset Ave","Gibsonburg","OH","43431-1264","D","B","93712.43","93.5","17","-105184.44"
"048942","Genoa Area Local","2810 N Genoa Clay Center Rd","Genoa","OH","43430-9730","C+","B","237182.10","92.8","15","-222630.35"
"048538","Southern Local","920 Elm St","Racine","OH","45771-8902","B","B","185721.61","91.5","6","-150445.68"
"049437","Lexington Local","103 Clever Ln","Lexington","OH","44904-1209","B+","B","452067.27","94.7","16","-581992.87"
"048124","Avon Lake City","175 Avon Belden Rd","Avon Lake","OH","44012-1600","B","A","316162.54","94.5","17","-383319.39"
"049809","Jackson Center Local","PO Box 849","Jackson Center","OH","45334-0849","C","B","49152.37","93.1","20","-64612.90"
"044495","Niles City","309 N Rhodes Ave","Niles","OH","44446-3821","B-","B","1273189.68","92.2","16","-1388758.03"
"061903","Adams County/Ohio Valley Local","141 Lloyd Rd","West Union","OH","45693-8974","C","B","531923.60","93.9","15","-566019.75"
"043711","Canton City","1312 5th St SW","Canton","OH","44707-4657","D-","D","7565211.69","93.4","13","-8321381.94"
"045062","Westlake City","27200 Hilliard Blvd","Westlake","OH","44145-3049","B+","B","397937.13","94.7","16","-593255.83"
"050658","Stryker Local","400 S Defiance St","Stryker","OH","43557-9307","D+","C","42613.85","91.6","14","-71568.95"
"047761","Oak Hill Union Local","205 Western Ave","Oak Hill","OH","45656-1068","C","B","209591.13","93.6","13","-189885.10"
"044164","Kent City","321 N Depeyster St","Kent","OH","44240-2514","B+","B","404201.85","93.8","10","-544058.41"
"050153","Mathews Local","4434B Warren Sharon Rd","Vienna","OH","44473-9644","C-","B","176537.50","92.4","14","-179959.69"
"044248","Logan-Hocking Local","2019 E Front St","Logan","OH","43138","C","B","542768.76","94.5","16","-676875.66"
"049890","Minerva Local","406 East St","Minerva","OH","44657-1429","C+","B","334585.38","92.7","25","-316717.55"
"045666","Windham Exempted Village","9530 Bauer Ave","Windham","OH","44288-1004","D","C","135830.42","93.1","15","-125618.11"
"049320","Continental Local","5211 State Route 634","Continental","OH","45831-9155","C-","B","95209.36","93.4","20","-82226.21"
"044792","South Euclid-Lyndhurst City","5044 Mayfield Rd","Lyndhurst","OH","44124-2605","C+","C","619258.92","92.6","13","-782301.80"
"048629","Miami East Local","3825 N State Route 589","Casstown","OH","45312-9707","B","B","129765.64","93.6","16","-106653.45"
"048231","Washington Local","3505 W Lincolnshire Blvd","Toledo","OH","43606-1231","B-","B","2596894.97","93.6","15","-2711352.72"
"047183","Chardon Local","428 North St","Chardon","OH","44024-1036","B+","B","545402.81","93.6","14","-574245.83"
"045880","Pymatuning Valley Local","PO Box 1180","Andover","OH","44003-1180","B-","B","191231.83","93.1","14","-252679.71"
"048330","Lowellville Local","52 Rocket Place","Lowellville","OH","44436","B-","B","25065.25","89.4","10","-15143.65"
"048751","Huber Heights City","5954 Longford Rd","Huber Heights","OH","45424-2943","C-","C","3877309.50","95.3","17","-3933499.19"
"045922","Trimble Local","1 Tomcat Dr","Glouster","OH","45732-9335","D+","C","99967.37","94.3","17","-130695.50"
"049932","Plain Local","901 44th St NW","Canton","OH","44709-1611","B+","B","1487147.72","94.4","15","-1656926.33"
